Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-12,92.8,97.4,92.75,97.4,1620000,ST,604,2682.12,1618800
2026-06-15,102.25,102.25,100.6,102.25,435600,ST,252,1728.57,408000
2026-06-16,100.95,103.35,97.15,97.85,235200,ST,173,1359.54,222000
2026-06-17,97.85,97.85,93.0,94.35,178800,ST,113,1582.3,165600
2026-06-18,94.35,94.35,90.25,90.75,81600,ST,57,1431.58,74400
2026-06-19,89.0,90.9,86.3,88.7,105600,ST,79,1336.71,91200
2026-06-22,87.2,89.0,86.4,88.9,60000,ST,46,1304.35,52800
2026-06-23,89.9,93.3,89.05,93.1,135600,ST,103,1316.5,134400
2026-06-24,96.0,96.0,89.7,92.75,78000,ST,62,1258.06,68400
2026-06-25,91.0,94.0,89.0,93.15,46800,ST,37,1264.86,42000
2026-06-29,90.0,94.95,90.0,91.1,68400,SM,55,1243.64,48000
2026-06-30,91.0,98.4,90.0,93.3,92400,SM,75,1232.0,68400
2026-07-01,93.0,96.8,92.0,93.4,42000,SM,35,1200.0,24000
2026-07-02,93.0,96.0,92.4,93.45,67200,SM,51,1317.65,44400
2026-07-03,94.95,95.75,91.0,93.85,98400,SM,73,1347.95,66000
2026-07-06,91.05,95.65,88.0,93.15,162000,SM,128,1265.62,92400
2026-07-07,94.5,97.0,93.1,93.45,134400,SM,106,1267.92,90000
2026-07-08,94.75,94.9,88.5,89.2,55200,SM,42,1314.29,43200
