Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-30,120.0,123.0,102.9,104.54,29869973,EQ,168908.0,176.84,11735469.0
2025-12-31,104.44,109.0,100.1,102.97,7655069,EQ,48989.0,156.26,1015009.0
2026-01-01,103.11,105.44,102.4,103.44,1368827,EQ,10482.0,130.59,281078.0
2026-01-02,104.5,105.8,102.0,102.71,1800884,EQ,9956.0,180.88,896078.0
2026-01-05,102.99,103.89,100.09,102.4,2015028,EQ,12413.0,162.33,596513.0
2026-01-06,102.4,102.57,100.25,100.89,837628,EQ,6362.0,131.66,364017.0
2026-01-07,101.11,110.99,100.0,103.71,8084088,EQ,40938.0,197.47,1337730.0
2026-01-08,104.28,105.0,102.5,103.02,1267276,EQ,6984.0,181.45,342280.0
2026-01-09,103.5,103.9,101.5,102.17,713560,EQ,4880.0,146.22,238551.0
2026-01-12,102.77,105.55,102.1,102.68,1429366,EQ,6593.0,216.8,504339.0
2026-01-13,103.75,105.45,103.11,104.81,1490251,EQ,6463.0,230.58,587132.0
2026-01-14,104.5,105.25,101.55,102.56,1147322,EQ,9570.0,119.89,382479.0
2026-01-16,102.5,104.45,102.25,102.73,549485,EQ,3622.0,151.71,190555.0
2026-01-19,103.79,104.31,101.0,101.75,863048,EQ,4558.0,189.35,267708.0
2026-01-20,101.51,104.7,101.27,103.21,1420365,EQ,7136.0,199.04,453406.0
2026-01-21,103.0,103.29,100.55,100.97,1046719,EQ,4478.0,233.75,337991.0
2026-01-22,102.9,102.9,101.08,101.72,587614,EQ,3306.0,177.74,219756.0
2026-01-23,103.0,103.01,98.36,99.36,786773,EQ,4354.0,180.7,366011.0
2026-01-27,99.5,100.86,99.0,100.15,1328089,EQ,4414.0,300.88,822180.0
2026-01-28,102.0,104.0,100.97,103.52,1746908,EQ,4210.0,414.94,1048610.0
2026-01-29,103.52,107.52,102.76,106.16,1656327,EQ,6912.0,239.63,857705.0
2026-01-30,105.51,106.03,104.45,105.16,350910,EQ,3050.0,115.05,93414.0
2026-02-01,105.0,105.98,104.0,105.14,244745,EQ,3576.0,68.44,100250.0
2026-02-02,105.14,105.77,103.02,104.22,831736,EQ,4405.0,188.82,469761.0
2026-02-03,105.49,107.08,105.04,105.97,521175,EQ,5362.0,97.2,202240.0
2026-02-04,105.84,107.25,104.65,106.41,259573,EQ,2994,86.7,111228
2026-02-05,106.9,109.27,106.5,106.94,622243,EQ,5382,115.62,196048
2026-02-06,106.9,112.64,106.41,111.5,852870,EQ,6429,132.66,392941
2026-02-09,111.53,112.99,108.06,108.75,405570,EQ,4642,87.37,208021
2026-02-10,109.0,114.6,108.16,112.28,1256682,EQ,8272,151.92,586391
2026-02-11,112.96,114.5,111.02,112.88,1146458,EQ,5471,209.55,661027
2026-02-12,112.99,115.39,112.0,114.15,1309250,EQ,5065,258.49,735129
2026-02-13,112.91,113.3,110.02,110.46,410308,EQ,3702,110.83,126871
2026-02-16,110.97,113.74,110.75,111.92,681487,EQ,3708,183.79,217595
2026-02-17,113.0,114.25,111.12,114.03,1503754,EQ,4635,324.43,977074
2026-02-18,114.03,114.42,113.01,113.43,516449,EQ,2653,194.67,242603
2026-02-19,113.97,113.97,108.0,110.62,778515,EQ,4444,175.18,359721
2026-02-20,111.93,112.15,109.76,110.77,255929,EQ,2500,102.37,78526
2026-02-23,112.0,114.29,110.6,111.87,714822,EQ,3233,221.1,482182
2026-02-24,111.81,112.64,110.11,110.71,205816,EQ,2668,77.14,89372
