Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-12,134.99,135.95,130.0,130.7,8662,EQ,131.0,66.12,7141.0
2025-12-15,131.35,134.75,127.96,134.52,7370,EQ,201.0,36.67,5516.0
2025-12-16,134.0,134.0,130.6,132.81,3432,EQ,119.0,28.84,3287.0
2025-12-17,132.81,134.99,130.0,134.35,6016,EQ,127.0,47.37,4022.0
2025-12-18,135.02,135.02,130.0,133.08,7796,EQ,167.0,46.68,7089.0
2025-12-19,134.99,134.99,130.5,132.97,961,EQ,50.0,19.22,865.0
2025-12-22,135.98,137.0,131.0,134.97,25569,EQ,241.0,106.1,16035.0
2025-12-23,136.99,143.87,135.1,138.53,23454,EQ,264.0,88.84,13844.0
2025-12-24,139.99,140.0,135.81,136.97,20491,EQ,312.0,65.68,18309.0
2025-12-26,137.99,137.99,135.99,136.64,7210,EQ,130.0,55.46,6171.0
2025-12-29,135.01,139.0,134.26,135.23,6550,EQ,196.0,33.42,4960.0
2025-12-30,133.33,135.61,133.33,134.39,2925,EQ,79.0,37.03,1822.0
2025-12-31,135.0,135.0,130.9,132.85,3285,EQ,165.0,19.91,2069.0
2026-01-01,132.85,133.5,132.85,133.26,2332,EQ,39.0,59.79,2239.0
2026-01-02,133.5,134.96,132.9,134.41,15317,EQ,91.0,168.32,3803.0
2026-01-05,136.99,136.99,135.0,135.99,15664,EQ,94.0,166.64,4188.0
2026-01-06,136.69,137.34,133.57,136.83,113657,EQ,237.0,479.57,97733.0
2026-01-07,137.42,137.42,136.0,136.46,6757,EQ,97.0,69.66,5425.0
2026-01-08,139.19,139.19,134.34,135.74,6855,EQ,85.0,80.65,5588.0
2026-01-09,138.4,138.4,135.96,136.95,5011,EQ,82.0,61.11,2701.0
2026-01-12,136.95,141.2,136.95,140.42,17018,EQ,141.0,120.7,14720.0
2026-01-13,143.4,144.0,140.38,140.76,13171,EQ,169.0,77.93,8735.0
2026-01-14,142.39,144.5,140.76,142.52,10088,EQ,153.0,65.93,7548.0
2026-01-16,143.5,143.51,140.5,141.96,11377,EQ,207.0,54.96,6807.0
2026-01-19,141.96,148.68,141.96,145.0,49648,EQ,490.0,101.32,40513.0
2026-01-20,145.2,153.78,145.2,150.3,133009,EQ,976.0,136.28,93573.0
2026-01-21,155.0,171.92,150.3,159.69,221776,EQ,2580.0,85.96,99896.0
2026-01-22,159.99,159.99,143.0,150.36,97416,EQ,1264.0,77.07,29611.0
2026-01-23,152.7,159.3,151.3,152.88,56571,EQ,641.0,88.25,34689.0
2026-01-27,155.95,159.5,154.41,158.59,327802,EQ,940.0,348.73,293000.0
2026-01-28,162.55,166.6,155.0,164.28,189018,EQ,1055.0,179.16,105381.0
2026-01-29,165.0,180.16,165.0,177.58,296158,EQ,1396.0,212.15,253832.0
2026-01-30,170.4,175.98,155.0,164.46,821086,EQ,2497.0,328.83,778439.0
2026-02-01,158.57,163.7,140.8,152.98,262047,EQ,3124.0,83.88,181474.0
2026-02-02,152.2,158.9,135.02,147.85,575808,EQ,2390.0,240.92,467560.0
2026-02-03,159.85,159.98,145.1,151.98,381286,EQ,1607.0,237.27,301328.0
2026-02-04,155.86,162.3,155.66,156.91,76047,EQ,1153,65.96,40094
2026-02-05,152.99,153.59,148.84,150.49,410406,EQ,1563,262.58,364192
2026-02-06,149.98,152.8,147.96,152.17,317754,EQ,854,372.08,303649
2026-02-09,153.15,159.02,153.0,154.74,119909,EQ,891,134.58,105888
2026-02-10,154.77,157.0,153.61,155.48,101663,EQ,773,131.52,91566
2026-02-11,156.98,156.98,153.55,155.84,63846,EQ,1031,61.93,41841
2026-02-12,156.55,157.05,153.5,155.46,238323,EQ,2278,104.62,83890
2026-02-13,153.97,153.98,151.0,152.83,51957,EQ,1107,46.93,41146
2026-02-16,153.59,154.99,151.2,153.94,66913,EQ,764,87.58,52708
2026-02-17,153.67,153.67,149.0,150.24,22272,EQ,931,23.92,8805
2026-02-18,150.33,154.0,149.78,151.08,68337,EQ,1111,61.51,56559
2026-02-19,154.49,154.5,150.21,153.45,29745,EQ,681,43.68,12160
2026-02-20,153.44,157.0,152.05,154.15,18464,EQ,433,42.64,7395
2026-02-23,155.71,159.9,155.41,157.44,109458,EQ,1367,80.07,81025
2026-02-24,161.37,161.37,157.24,158.44,48666,EQ,710,68.54,25727
2026-02-25,160.69,160.7,158.04,159.24,56231,EQ,742,75.78,37388
2026-02-26,159.97,159.97,156.61,158.13,50494,EQ,800,63.12,36624
2026-02-27,157.5,159.99,157.11,159.67,185892,EQ,1006,184.78,175139
2026-03-02,166.97,168.72,162.91,167.73,187555,EQ,3282,57.15,103060
2026-03-04,167.0,167.0,160.09,162.79,186597,EQ,1665,112.07,159684
2026-03-05,162.57,162.58,158.4,160.97,464297,EQ,1704,272.47,450618
2026-03-06,162.91,162.91,157.5,158.93,320397,EQ,1505,212.89,308977
2026-03-09,160.64,160.64,156.64,158.7,27095,EQ,799,33.91,9441
2026-03-10,159.19,160.01,158.57,159.89,43346,EQ,557,77.82,28805
2026-03-11,159.96,164.0,159.51,160.49,52916,EQ,542,97.63,32885
2026-03-12,160.28,162.0,158.86,160.95,13045,EQ,371,35.16,4269
2026-03-13,159.97,159.98,156.66,157.52,51436,EQ,1185,43.41,33086
2026-03-16,156.77,156.77,152.89,153.13,32593,EQ,981,33.22,18899
2026-03-17,156.19,156.19,153.15,154.46,5405,EQ,271,19.94,1475
2026-03-18,153.92,154.4,153.23,153.9,21406,EQ,193,110.91,19574
2026-03-19,153.9,153.9,145.62,146.51,29012,EQ,1007,28.81,19469
2026-03-20,144.44,148.03,144.44,146.02,57527,EQ,483,119.1,31013
2026-03-23,141.64,141.64,129.62,132.84,287417,EQ,3250,88.44,160904
2026-03-24,134.16,140.53,134.16,139.54,116291,EQ,996,116.76,96121
2026-03-25,143.43,148.0,143.43,144.39,122259,EQ,537,227.67,109240
2026-03-27,143.49,143.49,138.82,142.56,242243,EQ,931,260.2,219442
2026-03-30,146.12,149.99,142.31,146.23,119363,EQ,788,151.48,51444
2026-04-01,149.15,150.08,147.5,148.81,61748,EQ,457,135.12,22906
