Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,800.0,800.0,748.95,797.45,3417,EQ,393,8.69,2358
2026-04-21,797.95,834.0,781.0,799.0,3392,EQ,520,6.52,1889
2026-04-22,785.0,812.45,785.0,798.9,2907,EQ,387,7.51,2032
2026-04-23,807.0,810.0,793.0,795.85,2237,EQ,343,6.52,1388
2026-04-24,800.0,806.9,771.9,784.6,3058,EQ,385,7.94,2067
2026-04-27,788.05,797.0,779.25,783.7,3232,EQ,353,9.16,2554
2026-04-28,793.7,795.95,780.25,790.6,2533,EQ,329,7.7,1967
2026-04-29,790.6,813.0,786.1,789.4,10577,EQ,761,13.9,6872
2026-04-30,789.45,789.45,772.0,780.3,2984,EQ,325,9.18,2153
2026-05-04,780.3,789.85,778.8,784.05,3155,EQ,299,10.55,2112
2026-05-05,773.0,788.0,773.0,785.15,1525,EQ,170,8.97,1124
2026-05-06,775.0,792.5,773.8,780.3,6396,EQ,548,11.67,4299
2026-05-07,785.0,790.8,778.25,786.3,4247,EQ,360,11.8,3353
2026-05-08,789.8,796.95,782.2,784.65,4041,EQ,388,10.41,2581
2026-05-11,795.8,795.8,773.95,777.55,4326,EQ,379,11.41,3594
2026-05-12,777.0,777.55,756.0,762.95,4836,EQ,469,10.31,3292
2026-05-13,766.1,769.7,761.05,765.0,2329,EQ,239,9.74,1753
2026-05-14,765.0,773.1,745.0,748.85,10079,EQ,1069,9.43,7316
2026-05-15,748.85,759.9,742.05,750.75,4384,EQ,436,10.06,2961
2026-05-18,742.6,764.55,718.05,739.0,13298,EQ,1268,10.49,8808
2026-05-19,747.0,748.95,737.05,742.7,3977,EQ,302,13.17,3188
2026-05-20,741.5,741.5,730.15,736.25,4054,EQ,476,8.52,3372
2026-05-21,727.15,740.95,727.15,736.9,7231,EQ,592,12.21,5719
2026-05-22,749.85,749.85,731.0,734.1,7982,EQ,775,10.3,6078
2026-05-25,735.0,750.1,734.15,740.15,4990,EQ,416,12.0,3626
2026-05-26,739.0,760.0,733.2,736.25,9294,EQ,543,17.12,5999
2026-05-27,748.0,754.0,742.3,750.0,17418,EQ,659,26.43,14439
2026-05-29,755.55,791.9,732.2,736.5,22749,EQ,2449,9.29,12990
2026-06-01,737.5,738.5,726.6,730.05,10824,EQ,1557,6.95,6831
2026-06-02,732.9,733.0,716.0,718.9,19661,EQ,1917,10.26,14418
2026-06-03,715.0,738.9,711.25,734.05,7873,EQ,1091,7.22,3927
2026-06-04,737.75,737.75,720.0,731.3,6592,EQ,687,9.6,5064
2026-06-05,732.45,739.0,725.05,733.0,5832,EQ,475,12.28,3362
2026-06-08,721.0,744.8,721.0,727.4,6475,EQ,662,9.78,2713
2026-06-09,725.0,737.95,725.0,732.0,1794,EQ,220,8.15,1279
2026-06-10,732.0,748.4,722.0,734.8,8211,EQ,808,10.16,5014
2026-06-11,725.55,734.25,722.15,723.4,4948,EQ,605,8.18,3794
2026-06-12,726.0,735.95,722.1,733.0,3399,EQ,376,9.04,1972
2026-06-15,759.8,759.8,735.05,746.05,7451,EQ,752,9.91,4064
2026-06-16,746.05,749.8,740.1,746.4,5472,EQ,451,12.13,3381
2026-06-17,746.7,756.4,746.25,752.7,6750,EQ,635,10.63,3606
2026-06-18,740.0,764.0,740.0,753.15,9963,EQ,615,16.2,5890
2026-06-19,754.55,756.95,745.65,749.05,3525,EQ,360,9.79,2494
