Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-08,9.4,9.4,8.93,8.93,38047,BE,71,535.87,38047
2026-05-11,8.49,8.49,8.49,8.49,11701,BE,37,316.24,11701
2026-05-12,8.07,8.07,8.07,8.07,10416,BE,21,496.0,10416
2026-05-13,7.67,7.67,7.67,7.67,29564,BE,38,778.0,29564
2026-05-14,7.29,7.29,7.29,7.29,15402,BE,28,550.07,15402
2026-05-15,6.93,6.93,6.93,6.93,18715,BE,40,467.88,18715
2026-05-18,6.59,6.59,6.59,6.59,13754,BE,21,654.95,13754
2026-05-19,6.27,6.27,6.27,6.27,38259,BE,36,1062.75,38259
2026-05-20,5.96,5.96,5.96,5.96,61959,BE,31,1998.68,61959
2026-05-21,5.67,5.67,5.67,5.67,77747,BE,51,1524.45,77747
2026-05-22,5.11,5.11,5.11,5.11,86963,EQ,125,695.7,86963
2026-05-25,4.6,4.6,4.6,4.6,94580,EQ,155,610.19,94580
2026-05-26,4.14,4.14,4.14,4.14,154716,EQ,182,850.09,154716
