Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,68.5,69.5,65.0,68.16,114971,EQ,1097,104.8,87102
2026-04-21,68.25,76.14,68.25,70.81,320688,EQ,2746,116.78,170267
2026-04-22,72.42,76.0,70.0,73.22,304180,EQ,2593,117.31,165459
2026-04-23,72.5,74.0,70.25,73.09,174383,EQ,2561,68.09,118321
2026-04-24,73.98,73.98,70.1,72.94,116781,EQ,1827,63.92,81253
2026-04-27,72.93,74.0,72.0,72.37,72399,EQ,779,92.94,40657
2026-04-28,73.46,73.46,71.28,71.5,66436,EQ,1220,54.46,51852
2026-04-29,70.56,72.7,70.56,70.97,67711,EQ,761,88.98,48507
2026-04-30,71.33,71.33,69.4,69.55,56706,EQ,1669,33.98,46626
2026-05-04,71.25,71.49,68.62,69.7,54819,EQ,543,100.96,48846
2026-05-05,68.66,71.02,68.5,70.08,92637,EQ,1371,67.57,62197
2026-05-06,70.78,71.25,69.0,70.21,133160,EQ,1434,92.86,101010
2026-05-07,70.02,71.2,69.41,70.04,129064,EQ,1844,69.99,97797
2026-05-08,70.5,70.74,69.06,70.14,122758,EQ,1187,103.42,92448
