Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-12,112.0,134.4,112.0,131.33,523838472,EQ,1479928.0,353.96,230452762.0
2025-11-13,131.0,153.5,129.55,137.69,535192240,EQ,1717263.0,311.65,92720031.0
2025-11-14,142.7,149.99,140.03,148.53,250139103,EQ,773083.0,323.56,44771322.0
2025-11-17,154.15,178.23,152.25,174.45,466421770,EQ,1542144.0,302.45,62201708.0
2025-11-18,185.0,193.8,179.5,188.77,463399294,EQ,1803315.0,256.97,61272257.0
2025-11-19,187.99,187.99,169.89,169.89,142472507,EQ,531390.0,268.11,37077288.0
2025-11-20,157.55,162.27,153.1,156.71,121442958,EQ,589800.0,205.91,27313043.0
2025-11-21,156.02,168.39,155.6,157.84,182611278,EQ,726344.0,251.41,24895706.0
2025-11-24,159.26,163.38,150.0,151.8,91853111,EQ,402604.0,228.15,13451545.0
2025-11-25,152.55,163.2,152.55,161.12,91511871,EQ,352015.0,259.97,14981323.0
2025-11-26,161.99,165.45,158.88,162.89,67776516,EQ,267187.0,253.67,11465199.0
2025-11-27,164.2,164.48,159.15,160.24,29835924,EQ,135136.0,220.78,6582719.0
2025-11-28,160.29,163.25,158.1,158.88,23324297,EQ,124821.0,186.86,4684116.0
2025-12-01,160.0,161.95,155.8,157.33,26373071,EQ,138566.0,190.33,4581070.0
2025-12-02,157.47,160.45,156.89,157.84,17154364,EQ,85690.0,200.19,3799230.0
2025-12-03,158.8,159.7,153.51,154.79,17349565,EQ,88000.0,197.15,5748706.0
2025-12-04,154.6,154.9,142.91,145.36,44380853,EQ,214756.0,206.66,11490460.0
2025-12-05,146.24,152.95,146.21,151.18,53444345,EQ,224248.0,238.33,6871597.0
2025-12-08,151.6,157.5,149.04,151.64,80209990,EQ,329639.0,243.33,8841714.0
2025-12-09,152.0,152.29,144.2,149.45,50413777,EQ,251859.0,200.17,9083449.0
2025-12-10,147.6,148.3,142.11,145.96,63196249,EQ,277534.0,227.71,21311797.0
2025-12-11,145.75,149.6,144.15,145.45,27015806,EQ,126143.0,214.17,5517715.0
2025-12-12,146.0,146.83,143.96,145.13,23318949,EQ,109552.0,212.86,6298642.0
2025-12-15,144.99,147.25,144.0,145.86,14822676,EQ,81631.0,181.58,4704401.0
2025-12-16,146.0,146.67,143.2,144.25,15200310,EQ,102714.0,147.99,5517996.0
2025-12-17,144.25,144.5,142.4,142.92,11779051,EQ,64702.0,182.05,4545709.0
2025-12-18,142.92,146.75,142.9,144.11,16804524,EQ,78966.0,212.81,3561657.0
2025-12-19,145.3,163.5,143.52,160.87,197195933,EQ,761952.0,258.8,24544804.0
2025-12-22,164.71,172.5,162.15,166.13,160580583,EQ,625547.0,256.7,20042140.0
2025-12-23,163.26,167.1,160.03,160.82,62417288,EQ,256532.0,243.31,9780415.0
2025-12-24,161.6,175.5,160.31,163.63,156138198,EQ,596962.0,261.55,19036632.0
2025-12-26,164.89,167.7,163.9,165.23,53750534,EQ,202628.0,265.27,6944030.0
2025-12-29,165.6,166.84,160.2,162.11,25285817,EQ,118711.0,213.0,6407081.0
2025-12-30,162.2,164.11,158.5,159.95,17524476,EQ,78050.0,224.53,4543387.0
2025-12-31,160.0,160.2,154.8,156.17,22229027,EQ,170521.0,130.36,7531748.0
2026-01-01,156.23,157.1,153.92,155.3,10837426,EQ,58645.0,184.8,2592260.0
2026-01-02,155.6,157.05,153.45,155.19,18307846,EQ,94345.0,194.05,4809248.0
2026-01-05,155.0,156.98,152.62,155.53,16313291,EQ,89139.0,183.01,4167477.0
2026-01-06,157.0,159.7,154.56,155.31,21986083,EQ,143475.0,153.24,6783875.0
2026-01-07,155.16,165.15,154.5,162.05,88637839,EQ,301895.0,293.6,14476222.0
2026-01-08,162.05,167.2,159.0,160.51,62064099,EQ,229206.0,270.78,9795620.0
2026-01-09,160.7,163.7,156.65,158.97,26323010,EQ,105027.0,250.63,5678729.0
2026-01-12,160.0,163.5,158.32,162.8,30930100,EQ,128891.0,239.97,6851964.0
2026-01-13,164.0,165.9,160.9,162.69,25148305,EQ,110809.0,226.95,6033253.0
2026-01-14,163.5,169.4,157.7,164.34,112099418,EQ,384317.0,291.68,16982995.0
2026-01-16,167.0,179.78,166.65,173.23,190164176,EQ,610042.0,311.72,26516665.0
2026-01-19,173.2,174.68,160.1,161.27,58873380,EQ,244084.0,241.2,15775595.0
2026-01-20,161.99,164.3,156.0,156.98,32143964,EQ,156491.0,205.4,8141983.0
2026-01-21,156.8,162.3,155.76,161.27,44370489,EQ,168368.0,263.53,10405190.0
2026-01-22,164.5,166.87,163.52,166.23,27810489,EQ,117748.0,236.19,8225749.0
2026-01-23,166.9,173.99,165.26,167.51,48985788,EQ,188184.0,260.31,9227871.0
2026-01-27,168.9,171.81,161.8,168.91,30796637,EQ,132290.0,232.8,6374323.0
2026-01-28,169.65,173.5,168.12,172.08,27375334,EQ,114702.0,238.66,8158267.0
2026-01-29,172.8,176.0,169.68,173.28,32571453,EQ,136166.0,239.2,7622056.0
2026-01-30,171.0,184.5,170.3,177.04,64988391,EQ,254002.0,255.86,13437792.0
2026-02-01,177.9,184.0,152.52,168.1,86592522,EQ,441063.0,196.33,21147163.0
2026-02-02,167.0,167.05,157.0,164.16,63309890,EQ,327443.0,193.35,16317753.0
