Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-05,51.99,52.9,47.3,48.2,2713406,EQ,1036,2619.12,2593794
2026-03-06,47.24,50.0,47.13,48.47,125001,EQ,1219,102.54,103407
2026-03-09,48.57,49.0,46.5,47.72,222232,EQ,2025,109.74,158473
2026-03-10,48.7,48.97,47.78,47.95,92886,EQ,802,115.82,81875
2026-03-11,48.87,49.16,47.68,47.78,116378,EQ,961,121.1,100030
2026-03-12,48.75,48.87,46.8,46.97,120829,EQ,1093,110.55,109594
2026-03-13,46.5,47.97,45.7,45.96,167814,EQ,1336,125.61,125125
2026-03-16,45.99,47.39,44.92,45.22,177367,EQ,1257,141.1,125339
2026-03-17,45.44,45.85,45.0,45.64,69204,EQ,506,136.77,53462
2026-03-18,45.65,47.5,45.65,46.18,78391,EQ,526,149.03,70878
2026-03-19,47.1,47.1,44.73,45.08,164769,EQ,1356,121.51,136787
2026-03-20,44.8,47.0,44.68,44.88,88998,EQ,575,154.78,43210
2026-03-23,45.1,47.0,43.35,44.2,159127,EQ,1126,141.32,141018
2026-03-24,44.01,45.18,44.01,44.69,92850,EQ,696,133.41,53102
2026-03-25,45.58,46.85,44.98,45.91,111007,EQ,699,158.81,95610
2026-03-27,45.01,46.7,45.01,45.47,127601,EQ,915,139.45,95526
2026-03-30,44.56,45.95,43.86,44.65,85683,EQ,948,90.38,48584
2026-04-01,44.88,46.0,44.62,45.15,81809,EQ,585,139.84,62410
2026-04-02,44.9,46.0,43.4,44.46,158138,EQ,801,197.43,87108
2026-04-06,44.05,45.42,43.86,44.81,60349,EQ,761,79.3,38663
2026-04-07,45.04,45.98,44.01,45.31,108734,EQ,484,224.66,95430
2026-04-08,45.32,47.0,45.32,45.92,155804,EQ,577,270.02,139328
2026-04-09,45.96,46.84,45.57,46.19,236961,EQ,441,537.33,217116
2026-04-10,46.94,46.94,46.11,46.5,94422,EQ,678,139.27,72890
2026-04-13,46.86,46.86,45.11,46.43,69207,EQ,681,101.63,52337
2026-04-15,47.0,48.0,46.36,47.54,272865,EQ,728,374.81,206096
2026-04-16,48.01,48.01,47.0,47.23,134422,EQ,721,186.44,112506
2026-04-17,47.74,48.0,47.02,47.92,90094,EQ,579,155.6,49359
