Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-23,10.2,11.25,10.04,10.23,986216,EQ,2621.0,376.27,918975.0
2025-12-24,10.48,10.97,10.2,10.24,1324561,EQ,2220.0,596.65,1221969.0
2025-12-26,10.49,10.5,10.2,10.27,781667,EQ,1914.0,408.39,605902.0
2025-12-29,10.58,10.68,10.18,10.23,2133660,EQ,3880.0,549.91,1705745.0
2025-12-30,10.53,10.7,10.03,10.51,1290327,EQ,2207.0,584.65,1170879.0
2025-12-31,10.84,10.84,10.5,10.62,1601158,EQ,2645.0,605.35,1256911.0
2026-01-01,10.88,10.9,10.58,10.71,1254769,EQ,2149.0,583.89,1017740.0
2026-01-02,10.92,11.0,10.2,10.86,1850918,EQ,2965.0,624.26,1469381.0
2026-01-05,11.1,11.13,10.86,10.89,3561627,EQ,5596.0,636.46,2690083.0
2026-01-06,11.16,11.69,10.9,10.97,3355715,EQ,4619.0,726.5,2857061.0
2026-01-07,11.01,11.2,10.86,10.93,2519705,EQ,3659.0,688.63,1223186.0
2026-01-08,10.99,10.99,10.54,10.6,2220276,EQ,4291.0,517.43,1363495.0
2026-01-09,10.69,10.69,10.5,10.53,845981,EQ,2644.0,319.96,638977.0
2026-01-12,10.5,10.8,10.5,10.75,1218513,EQ,2946.0,413.62,772779.0
2026-01-13,11.01,11.01,10.71,10.78,1034481,EQ,2499.0,413.96,743743.0
2026-01-14,10.94,11.15,10.75,11.09,1990201,EQ,3199.0,622.13,1196528.0
2026-01-16,11.36,11.4,10.96,10.98,2178383,EQ,4181.0,521.02,1497389.0
2026-01-19,11.1,11.1,10.94,11.01,1734267,EQ,4257.0,407.39,1074987.0
2026-01-20,11.28,11.35,10.7,10.77,1818149,EQ,4755.0,382.37,1119100.0
2026-01-21,11.03,11.03,10.63,10.82,1452618,EQ,4793.0,303.07,1005874.0
2026-01-22,11.09,11.09,10.87,10.97,1365749,EQ,3482.0,392.23,944840.0
2026-01-23,11.2,11.2,10.85,10.9,1451690,EQ,3924.0,369.95,907073.0
2026-01-27,11.2,11.3,10.95,11.27,1805690,EQ,5039.0,358.34,1139119.0
2026-01-28,11.4,11.58,11.27,11.51,2771964,EQ,6096.0,454.72,1971980.0
2026-01-29,11.7,12.0,11.53,11.9,5185561,EQ,7557.0,686.19,3828578.0
2026-01-30,12.19,12.19,11.17,11.3,4954050,EQ,10713.0,462.43,3484991.0
2026-02-01,11.23,11.23,10.1,10.86,2437914,EQ,6898.0,353.42,1216568.0
2026-02-02,10.78,11.2,10.61,11.0,1527154,EQ,4765.0,320.49,841562.0
2026-02-03,11.25,11.47,11.14,11.31,1730834,EQ,4345.0,398.35,1058695.0
2026-02-04,11.45,11.5,11.32,11.41,887741,EQ,3104,286.0,576801
2026-02-05,11.38,11.67,11.16,11.36,1007855,EQ,4108,245.34,631021
2026-02-06,11.64,11.64,11.15,11.31,1089665,EQ,3927,277.48,578947
2026-02-09,11.49,11.58,11.37,11.49,1194312,EQ,4759,250.96,824534
2026-02-10,11.77,11.77,11.5,11.6,927882,EQ,3237,286.65,514610
2026-02-11,11.87,11.88,11.56,11.62,717501,EQ,2766,259.4,401942
2026-02-12,11.65,11.87,11.57,11.66,754180,EQ,2904,259.7,544167
2026-02-13,11.36,11.95,11.0,11.29,1243885,EQ,4480,277.65,958631
2026-02-16,11.29,11.53,11.21,11.31,546626,EQ,3357,162.83,314840
2026-02-17,11.3,11.3,11.11,11.2,521603,EQ,2727,191.27,359372
