Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-11,105.61,105.62,102.65,103.67,1061701,EQ,623,1704.17,1055156
2026-02-12,103.55,105.97,102.98,103.69,35424,EQ,526,67.35,25771
2026-02-13,103.69,104.0,100.8,102.12,14398,EQ,720,20.0,10450
2026-02-16,102.12,103.9,100.04,103.41,9951,EQ,371,26.82,5869
2026-02-17,103.41,104.0,102.83,103.34,7995,EQ,229,34.91,5925
2026-02-18,102.29,104.35,101.53,103.72,6428,EQ,185,34.75,5512
2026-02-19,102.2,104.35,102.0,102.55,3043,EQ,193,15.77,2616
2026-02-20,100.5,104.31,100.22,104.14,19521,EQ,203,96.16,10135
2026-02-23,104.14,104.65,102.2,104.2,14340,EQ,253,56.68,8693
2026-02-24,103.24,104.92,102.31,104.6,7230,EQ,176,41.08,5113
2026-02-25,104.42,105.9,104.05,104.77,6293,EQ,172,36.59,5754
2026-02-26,104.25,105.54,104.0,105.37,5005,EQ,141,35.5,3256
2026-02-27,106.98,106.98,102.2,103.0,5855,EQ,172,34.04,3699
2026-03-02,101.0,104.44,100.94,104.25,9760,EQ,244,40.0,5958
2026-03-04,101.86,103.64,101.0,101.41,16538,EQ,249,66.42,14250
2026-03-05,101.23,103.89,99.4,103.83,10004,EQ,147,68.05,8029
2026-03-06,101.75,104.44,101.3,103.87,8529,EQ,124,68.78,6109
2026-03-09,101.79,103.8,99.86,101.39,7271,EQ,241,30.17,4246
2026-03-10,103.97,103.97,98.53,102.25,7784,EQ,108,72.07,4850
2026-03-11,102.0,103.13,101.01,101.87,4835,EQ,89,54.33,3213
2026-03-12,100.03,103.49,99.0,103.47,4942,EQ,122,40.51,2249
2026-03-13,101.45,103.0,100.94,101.37,6796,EQ,113,60.14,6121
2026-03-16,101.37,101.37,98.71,99.36,5263,EQ,176,29.9,3587
2026-03-17,98.5,100.57,98.15,100.46,1942,EQ,116,16.74,1136
2026-03-18,99.05,101.98,99.05,101.25,11975,EQ,85,140.88,10977
2026-03-19,101.25,101.25,98.0,98.51,4104,EQ,153,26.82,2777
2026-03-20,98.07,101.43,98.07,99.39,4045,EQ,227,17.82,2954
2026-03-23,103.86,103.86,95.57,96.23,10869,EQ,560,19.41,4098
2026-03-24,98.99,98.99,95.92,97.6,4626,EQ,202,22.9,3208
2026-03-25,98.98,98.98,96.6,97.74,3029,EQ,126,24.04,1274
2026-03-27,97.74,98.68,95.75,97.19,54636,EQ,527,103.67,5367
2026-03-30,97.98,98.7,95.0,96.22,8518,EQ,331,25.73,3887
2026-04-01,98.14,100.55,96.5,97.81,14836,EQ,288,51.51,3253
2026-04-02,96.5,98.68,94.5,97.59,4088,EQ,118,34.64,2570
2026-04-06,93.2,98.3,93.2,98.08,3333,EQ,143,23.31,1057
2026-04-07,96.12,98.98,96.12,98.92,2891,EQ,85,34.01,1486
2026-04-08,100.01,102.97,99.4,100.28,2953,EQ,106,27.86,2143
2026-04-09,101.98,102.42,98.27,101.96,3858,EQ,81,47.63,2645
2026-04-10,101.96,102.9,99.92,102.53,5196,EQ,110,47.24,3392
