Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-27,81.99,84.9,81.99,82.92,8018,EQ,316,25.37,3800
2026-03-30,82.85,84.9,78.85,83.8,16857,EQ,422,39.95,12649
2026-04-01,81.7,85.5,80.51,81.89,10359,EQ,326,31.78,6552
2026-04-02,80.7,81.93,78.06,81.09,18140,EQ,236,76.86,8226
2026-04-06,80.16,83.52,80.15,83.02,11221,EQ,225,49.87,3168
2026-04-07,80.7,82.67,80.69,82.31,4006,EQ,144,27.82,3014
2026-04-08,83.02,89.43,83.01,87.35,32590,EQ,329,99.06,17846
2026-04-09,88.18,88.18,85.63,85.75,23720,EQ,142,167.04,6837
2026-04-10,87.38,88.07,85.82,87.66,27591,EQ,136,202.88,4872
2026-04-13,87.61,87.61,83.99,86.52,9137,EQ,197,46.38,3377
2026-04-15,88.34,89.99,87.43,88.22,12484,EQ,282,44.27,6451
2026-04-16,89.47,90.7,86.93,87.95,73932,EQ,429,172.34,12082
2026-04-17,88.77,88.95,86.55,88.54,12971,EQ,201,64.53,6473
2026-04-20,88.55,90.64,87.5,89.59,32578,EQ,270,120.66,24513
2026-04-21,89.86,90.6,87.8,90.34,7602,EQ,143,53.16,5143
2026-04-22,89.34,91.19,88.56,90.38,24430,EQ,221,110.54,19522
2026-04-23,90.95,90.95,88.0,88.36,10832,EQ,164,66.05,9635
2026-04-24,88.14,89.0,86.86,87.33,6326,EQ,148,42.74,4949
2026-04-27,87.41,89.97,85.8,87.96,10959,EQ,228,48.07,5326
2026-04-28,87.58,88.73,86.77,86.9,5051,EQ,141,35.82,4672
2026-04-29,86.96,88.1,86.1,86.97,3253,EQ,138,23.57,2258
2026-04-30,85.45,85.48,84.4,85.07,9618,EQ,169,56.91,8612
2026-05-04,86.78,86.78,84.15,84.67,8285,EQ,163,50.83,6167
2026-05-05,83.5,84.88,83.25,84.29,4592,EQ,117,39.25,3088
2026-05-06,85.68,87.03,84.38,86.58,8949,EQ,91,98.34,7837
2026-05-07,86.63,87.34,85.8,86.41,6801,EQ,105,64.77,6233
2026-05-08,87.18,87.18,83.4,83.97,22711,EQ,201,112.99,17548
2026-05-11,83.93,83.93,81.5,81.79,22312,EQ,308,72.44,20915
2026-05-12,80.15,82.32,80.15,80.75,8806,EQ,169,52.11,8180
2026-05-13,81.0,81.29,79.14,80.88,8505,EQ,128,66.45,6636
2026-05-14,81.48,82.6,80.36,81.72,3613,EQ,85,42.51,3254
2026-05-15,81.8,82.23,80.31,80.82,6895,EQ,107,64.44,6639
2026-05-18,80.78,81.5,78.5,79.37,8687,EQ,201,43.22,8235
2026-05-19,80.14,81.62,79.29,81.01,3090,EQ,81,38.15,1938
2026-05-20,79.04,80.45,78.51,80.35,16621,EQ,126,131.91,13936
2026-05-21,80.96,81.0,79.87,80.74,5566,EQ,74,75.22,4033
2026-05-22,79.92,81.03,79.9,80.47,2793,EQ,68,41.07,1952
2026-05-25,82.08,82.5,80.8,82.4,18217,EQ,128,142.32,10167
2026-05-26,82.4,83.5,82.0,82.6,12825,EQ,151,84.93,9686
2026-05-27,83.38,83.97,81.9,82.69,8501,EQ,197,43.15,5280
2026-05-29,82.5,83.63,81.1,82.32,8867,EQ,184,48.19,7105
2026-06-01,83.38,83.38,80.35,82.23,2859,EQ,145,19.72,1963
2026-06-02,81.7,81.7,79.62,80.94,7729,EQ,164,47.13,6315
2026-06-03,80.94,82.74,79.21,82.26,4822,EQ,135,35.72,2360
2026-06-04,82.98,82.98,79.5,82.37,12425,EQ,322,38.59,5171
2026-06-05,83.97,83.97,80.72,83.34,22176,EQ,496,44.71,7778
2026-06-08,83.3,83.93,80.15,81.99,21384,EQ,762,28.06,7570
2026-06-09,82.88,85.82,81.0,85.45,47407,EQ,455,104.19,26089
2026-06-10,87.88,87.88,83.58,83.76,53019,EQ,443,119.68,6893
2026-06-11,83.75,84.28,82.08,83.68,5714,EQ,105,54.42,2206
2026-06-12,85.35,86.03,83.41,85.77,10694,EQ,144,74.26,6788
2026-06-15,86.01,88.0,85.89,86.42,11141,EQ,224,49.74,5604
2026-06-16,88.1,88.1,85.01,85.57,6101,EQ,182,33.52,2759
2026-06-17,83.86,88.0,83.86,87.41,18559,EQ,170,109.17,5119
2026-06-18,89.47,89.47,84.4,88.07,17107,EQ,346,49.44,4747
2026-06-19,88.68,88.68,86.52,87.48,8482,EQ,194,43.72,4291
