Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-20,27.5,27.5,27.13,27.2,73,EQ,11,6.64,73
2026-08-21,27.13,27.13,26.9,26.9,13,EQ,6,2.17,13
2026-08-24,26.9,26.9,26.85,26.86,262,EQ,10,26.2,262
2026-08-25,26.93,26.93,26.91,26.91,31,EQ,7,4.43,31
2026-08-26,26.9,26.9,26.9,26.9,29,EQ,6,4.83,29
2026-08-27,26.82,26.82,26.82,26.82,1650000,EQ,177,9322.03,1650000
2026-08-28,26.66,26.89,26.66,26.89,11,EQ,3,3.67,11
2026-08-31,26.83,26.83,26.51,26.51,1245,EQ,13,95.77,929
2026-09-01,26.64,26.64,26.49,26.49,185,EQ,4,46.25,185
2026-09-04,26.79,26.79,26.48,26.79,42,EQ,4,10.5,22
