Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,91.8,93.65,88.0,89.05,5126,EQ,68,75.38,4967
2026-04-21,88.65,89.95,86.5,88.3,8876,EQ,125,71.01,7980
2026-04-22,88.3,89.95,85.0,86.25,23632,EQ,507,46.61,15396
2026-04-23,87.9,103.5,87.5,96.35,432341,EQ,2817,153.48,306226
2026-04-24,96.05,99.5,92.85,95.15,150079,EQ,1858,80.77,84100
2026-04-27,96.95,99.0,94.2,98.5,66342,EQ,931,71.26,40730
2026-04-28,98.45,110.05,98.4,108.3,351598,EQ,3241,108.48,230559
2026-04-29,109.9,112.0,106.2,110.2,115632,EQ,1525,75.82,65041
2026-04-30,108.55,110.45,107.1,107.85,84220,EQ,824,102.21,62129
2026-05-04,110.0,110.0,107.03,107.84,33663,EQ,521,64.61,20972
2026-05-05,107.8,107.92,105.87,107.36,18742,EQ,167,112.23,13274
2026-05-06,107.97,113.42,107.0,109.51,73918,EQ,1011,73.11,43460
2026-05-07,109.35,112.49,108.0,111.57,41511,EQ,486,85.41,25466
2026-05-08,112.0,119.9,110.81,114.49,252288,EQ,2210,114.16,114865
2026-05-11,113.85,113.85,109.0,110.64,46045,EQ,610,75.48,23456
2026-05-12,111.08,111.08,106.0,108.45,54179,EQ,527,102.81,36317
2026-05-13,106.3,109.58,105.55,106.38,28107,EQ,281,100.02,19263
2026-05-14,106.38,109.78,105.0,107.85,44982,EQ,592,75.98,25833
2026-05-15,107.85,109.99,106.0,106.38,15594,EQ,288,54.15,7952
2026-05-18,107.7,107.7,102.4,103.52,29934,EQ,545,54.92,18827
2026-05-19,103.52,105.98,103.0,104.17,9287,EQ,180,51.59,5490
2026-05-20,104.7,105.0,101.0,102.77,26378,EQ,660,39.97,8730
2026-05-21,102.77,118.0,102.77,109.32,252870,EQ,2547,99.28,98811
2026-05-22,110.0,114.08,108.46,112.34,119986,EQ,1334,89.94,75081
2026-05-25,112.36,119.93,111.27,114.19,313366,EQ,2575,121.7,182800
2026-05-26,114.19,118.0,111.0,112.26,90611,EQ,1243,72.9,49872
2026-05-27,113.94,120.0,113.27,114.32,99425,EQ,1422,69.92,53330
2026-05-29,116.0,117.97,110.05,112.65,78928,EQ,953,82.82,54129
2026-06-01,113.98,115.5,109.44,110.19,42355,EQ,643,65.87,19245
2026-06-02,109.03,114.0,105.47,111.62,90023,EQ,1407,63.98,56836
2026-06-03,110.55,115.0,110.55,112.17,81608,EQ,1086,75.15,46791
2026-06-04,113.0,114.68,109.0,110.68,87812,EQ,1356,64.76,39915
2026-06-05,112.15,112.16,108.51,109.3,44136,EQ,956,46.17,24285
2026-06-08,110.0,116.5,110.0,114.46,171043,EQ,3074,55.64,70253
2026-06-09,118.0,129.8,115.22,123.89,1171374,EQ,15053,77.82,273704
2026-06-10,124.49,125.72,121.11,123.7,174186,EQ,4252,40.97,81280
2026-06-11,123.89,123.89,117.0,118.0,85885,EQ,2449,35.07,36688
2026-06-12,119.21,126.0,118.71,124.59,148013,EQ,3193,46.36,61767
