Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-16,18.29,18.44,18.29,18.41,31501,EQ,100,315.01,31440
2026-02-17,18.41,18.52,18.36,18.5,47454,EQ,100,474.54,41657
2026-02-18,18.59,18.59,18.43,18.52,15386,EQ,83,185.37,14072
2026-02-19,18.57,18.64,18.35,18.43,20974,EQ,103,203.63,20584
2026-02-20,18.52,18.52,18.37,18.42,26635,EQ,57,467.28,26091
2026-02-23,18.99,18.99,18.48,18.6,69543,EQ,85,818.15,66219
2026-02-24,18.59,18.66,18.5,18.62,11432,EQ,70,163.31,6674
2026-02-25,18.71,18.91,18.62,18.9,22033,EQ,63,349.73,20367
2026-02-26,18.94,19.14,18.94,19.07,33300,EQ,79,421.52,31237
2026-02-27,19.16,19.16,18.85,18.87,17823,EQ,122,146.09,17750
2026-03-02,18.64,18.83,18.54,18.78,80497,EQ,154,522.71,63752
2026-03-04,18.83,18.83,18.36,18.48,28403,EQ,148,191.91,16238
2026-03-05,18.63,18.78,18.56,18.75,109984,EQ,64,1718.5,109743
2026-03-06,18.69,18.82,18.63,18.64,95363,EQ,68,1402.4,87679
2026-03-09,19.1,19.1,18.24,18.58,29970,EQ,111,270.0,15882
2026-03-10,18.82,18.86,18.73,18.82,49472,EQ,67,738.39,25893
2026-03-11,18.9,18.97,18.83,18.84,41128,EQ,77,534.13,29927
2026-03-12,18.65,18.8,18.59,18.72,58194,EQ,101,576.18,46524
2026-03-13,18.71,18.71,18.27,18.32,25072,EQ,169,148.36,13269
2026-03-16,18.41,18.41,17.99,18.12,68282,EQ,154,443.39,22520
2026-03-17,18.16,18.25,18.12,18.2,12286,EQ,55,223.38,11739
2026-03-18,18.22,18.37,18.22,18.31,91845,EQ,66,1391.59,91791
2026-03-19,18.4,18.4,17.8,17.82,52658,EQ,241,218.5,49921
2026-03-20,17.98,18.15,17.95,18.06,22121,EQ,77,287.29,16021
2026-03-23,17.95,17.95,17.65,17.68,66299,EQ,167,397.0,65462
2026-03-24,17.86,17.99,17.72,17.89,22979,EQ,72,319.15,14366
2026-03-25,18.21,18.35,18.15,18.28,33875,EQ,56,604.91,25653
2026-03-27,18.27,18.27,18.1,18.13,52315,EQ,116,450.99,39916
2026-03-30,18.05,18.05,17.81,17.89,15724,EQ,117,134.39,15153
2026-04-01,18.11,18.31,17.7,17.8,29512,EQ,125,236.1,27044
2026-04-02,18.1,18.1,17.18,17.64,29123,EQ,143,203.66,28980
2026-04-06,17.64,17.85,17.41,17.72,106461,EQ,119,894.63,103129
2026-04-07,17.65,17.81,17.59,17.76,12103,EQ,61,198.41,9871
2026-04-08,18.08,18.08,17.85,17.93,28553,EQ,96,297.43,28511
2026-04-09,18.02,18.14,17.93,18.07,49147,EQ,88,558.49,23159
2026-04-10,18.07,18.2,18.0,18.15,19747,EQ,100,197.47,14671
2026-04-13,17.96,18.21,17.88,18.15,11595,EQ,102,113.68,6180
2026-04-15,18.3,18.42,18.3,18.41,33816,EQ,74,456.97,10873
2026-04-16,18.79,18.79,18.31,18.43,19310,EQ,102,189.31,17594
2026-04-17,18.36,18.58,18.36,18.53,84609,EQ,100,846.09,65199
2026-04-20,18.95,18.95,18.25,18.5,45124,EQ,115,392.38,28691
2026-04-21,18.55,18.61,18.52,18.54,23312,EQ,60,388.53,20158
2026-04-22,18.49,18.6,18.47,18.56,8727,EQ,68,128.34,8395
2026-04-23,18.56,18.99,18.52,18.89,41013,EQ,97,422.81,32897
2026-04-24,19.0,19.0,18.65,18.67,60770,EQ,138,440.36,49737
2026-04-27,18.9,19.15,18.9,19.08,159227,EQ,122,1305.14,146133
2026-04-28,19.07,19.13,19.01,19.02,61301,EQ,161,380.75,18525
2026-04-29,19.11,19.19,19.01,19.03,36729,EQ,65,565.06,20765
2026-04-30,19.03,19.35,18.85,19.0,39794,EQ,125,318.35,25176
2026-05-04,19.09,19.51,19.09,19.31,433873,EQ,357,1215.33,376777
2026-05-05,19.32,19.42,19.16,19.34,43006,EQ,112,383.98,34706
2026-05-06,19.61,19.86,19.4,19.72,535264,EQ,502,1066.26,372236
2026-05-07,19.81,19.85,19.72,19.78,112078,EQ,206,544.07,109819
2026-05-08,19.87,19.94,19.72,19.83,110203,EQ,184,598.93,65662
2026-05-11,19.88,20.02,19.67,19.9,195748,EQ,235,832.97,85600
2026-05-12,20.39,20.39,19.6,19.63,134676,EQ,196,687.12,55744
2026-05-13,19.63,19.87,19.61,19.63,148269,EQ,117,1267.26,105924
2026-05-14,19.84,20.14,19.84,20.11,184818,EQ,173,1068.31,164634
2026-05-15,20.17,20.27,20.05,20.13,92199,EQ,215,428.83,74440
2026-05-18,20.73,20.73,19.9,20.19,121764,EQ,215,566.34,96221
2026-05-19,20.25,20.51,20.16,20.26,73883,EQ,196,376.95,41388
2026-05-20,21.17,21.17,20.2,20.33,127960,EQ,166,770.84,117316
2026-05-21,20.46,20.49,20.33,20.41,115793,EQ,171,677.15,87765
2026-05-22,20.51,20.82,20.1,20.12,108198,EQ,335,322.98,76672
2026-05-25,20.62,20.62,20.11,20.21,48091,EQ,182,264.24,46002
2026-05-26,20.24,20.24,20.1,20.14,62719,EQ,144,435.55,59482
