Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-12,48.25,50.66,48.1,50.66,11379734,BE,20449,556.49,11379734
2026-06-15,53.19,53.19,53.19,53.19,691949,BE,1478,468.17,691949
2026-06-16,52.14,55.44,50.54,54.16,9169014,BE,14876,616.36,9169014
2026-06-17,51.75,53.9,51.6,51.98,1470704,BE,3826,384.4,1470704
2026-06-18,51.98,52.0,49.39,50.93,1656556,BE,3374,490.98,1656556
2026-06-19,51.1,53.0,50.5,52.6,1306148,BE,2803,465.98,1306148
2026-06-22,53.6,54.0,51.5,53.0,972340,BE,2124,457.79,972340
2026-06-23,53.0,53.7,51.65,52.16,942353,BE,1917,491.58,942353
2026-06-24,52.5,54.76,50.67,54.76,1275507,BE,2644,482.42,1275507
2026-06-25,57.49,57.49,57.49,57.49,321307,BE,823,390.41,321307
2026-06-29,60.36,67.9,59.0,65.56,8748631,EQ,28727,304.54,3768395
2026-06-30,66.5,66.9,61.4,63.41,3794018,EQ,17102,221.85,1852344
2026-07-01,65.0,65.0,58.61,60.0,2716984,EQ,14388,188.84,1125561
2026-07-02,60.09,72.0,59.27,72.0,11354569,EQ,43545,260.75,3353295
2026-07-03,74.0,76.9,70.31,73.39,8283484,EQ,41234,200.89,2326435
2026-07-06,73.39,74.77,69.15,71.0,2410149,EQ,13897,173.43,1017597
2026-07-07,71.0,71.55,68.0,68.38,1255265,EQ,7246,173.24,653726
2026-07-08,68.0,71.65,64.15,65.69,2555337,EQ,19783,129.17,954954
2026-07-09,67.99,70.0,65.84,68.45,1655678,EQ,10250,161.53,586455
2026-07-10,69.5,77.75,69.16,71.75,7073038,EQ,39040,181.17,2124779
