Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-24,60.25,60.25,56.57,58.16,93536375,EQ,197832,472.81,47592719
2026-08-25,59.0,59.79,55.15,55.6,8930228,EQ,53428,167.15,4334958
2026-08-26,55.9,57.49,55.13,56.78,7729723,EQ,32717,236.26,3874574
2026-08-27,55.51,57.5,55.51,56.78,4091943,EQ,20326,201.32,2148718
2026-08-28,56.78,58.7,56.6,58.05,6908806,EQ,26446,261.24,3466431
2026-08-31,55.55,58.05,55.0,56.89,7670563,EQ,20863,367.66,4119933
2026-09-01,56.9,58.3,55.11,55.37,5863251,EQ,27457,213.54,3179855
2026-09-02,55.57,57.25,53.75,56.57,11684390,EQ,49482,236.13,5983174
2026-09-03,56.71,57.19,55.01,55.69,6343272,EQ,28939,219.19,3650281
2026-09-04,55.49,55.99,54.6,55.13,6411837,EQ,22902,279.97,3551292
