Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-27,123.99,126.99,122.41,123.84,32080,EQ,160,200.5,10037
2026-03-30,124.45,146.4,121.36,127.63,15668,EQ,131,119.6,9356
2026-04-01,130.74,133.99,125.99,128.98,15095,EQ,299,50.48,6493
2026-04-02,129.35,129.35,125.5,126.73,5275,EQ,85,62.06,3487
2026-04-06,129.26,131.38,125.06,129.34,7290,EQ,85,85.76,4941
2026-04-07,126.75,129.09,126.75,128.67,1253,EQ,55,22.78,998
2026-04-08,132.01,134.79,130.37,130.73,4513,EQ,66,68.38,2555
2026-04-09,132.0,132.0,128.01,129.16,47732,EQ,69,691.77,45561
2026-04-10,129.45,130.26,129.1,129.94,154718,EQ,45,3438.18,154288
2026-04-13,133.18,134.0,129.94,132.22,4226,EQ,75,56.35,1955
2026-04-15,132.22,135.5,129.3,131.95,6874,EQ,284,24.2,5046
2026-04-16,134.59,134.59,131.4,131.63,8789,EQ,89,98.75,7978
2026-04-17,135.0,135.0,130.61,131.98,6024,EQ,99,60.85,3223
2026-04-20,134.65,134.65,130.57,131.55,4984,EQ,92,54.17,3091
2026-04-21,134.18,134.59,130.65,131.62,347029,EQ,99,3505.34,345470
2026-04-22,132.27,132.93,130.01,131.46,2884,EQ,36,80.11,2066
2026-04-23,130.0,133.5,130.0,130.67,67735,EQ,187,362.22,54162
2026-04-24,133.3,133.3,129.91,130.59,82240,EQ,2480,33.16,81936
2026-04-27,130.59,133.37,128.96,131.0,154602,EQ,727,212.66,152320
2026-04-28,130.99,131.0,128.36,128.86,16941,EQ,1254,13.51,15010
2026-04-29,129.0,130.49,127.5,127.53,2330,EQ,1252,1.86,602
2026-04-30,128.17,131.0,127.92,130.4,3121,EQ,1830,1.71,579
2026-05-04,132.91,135.0,128.06,128.9,6003,EQ,90,66.7,5056
2026-05-05,130.0,130.0,127.1,128.57,2105,EQ,62,33.95,1830
2026-05-06,131.0,131.0,128.23,130.03,231609,EQ,57,4063.32,230809
2026-05-07,130.68,131.61,130.17,130.63,1370,EQ,20,68.5,518
2026-05-08,131.28,132.0,129.0,130.85,1300,EQ,30,43.33,963
2026-05-11,132.8,132.8,128.88,130.32,1148,EQ,46,24.96,562
2026-05-12,131.0,131.81,130.73,130.82,1873,EQ,27,69.37,984
2026-05-13,130.55,140.0,130.55,138.59,430450,EQ,107,4022.9,424720
2026-05-14,139.28,140.0,138.41,138.54,1734,EQ,37,46.86,816
2026-05-15,137.8,144.9,135.68,136.69,5603,EQ,46,121.8,4492
2026-05-18,137.37,138.05,134.8,137.25,2644,EQ,41,64.49,2056
2026-05-19,137.93,138.65,137.03,137.99,3052,EQ,38,80.32,2787
2026-05-20,138.67,138.67,136.05,137.5,713,EQ,19,37.53,292
2026-05-21,135.23,138.47,135.23,138.23,1191,EQ,45,26.47,440
2026-05-22,138.92,138.92,136.74,137.24,1908,EQ,37,51.57,1451
2026-05-25,139.98,139.98,136.92,137.49,25845,EQ,85,304.06,25384
2026-05-26,137.3,137.3,135.68,136.39,86111,EQ,96,896.99,85769
2026-05-27,136.0,136.43,135.63,135.84,8781,EQ,99,88.7,900
2026-05-29,138.56,138.56,134.78,135.43,1803,EQ,38,47.45,1150
2026-06-01,138.15,138.15,133.38,133.48,10689,EQ,63,169.67,6778
2026-06-02,133.0,135.83,133.0,134.83,1259,EQ,34,37.03,312
2026-06-03,135.5,135.5,133.76,134.5,41386,EQ,29,1427.1,41026
2026-06-04,135.17,135.5,134.12,135.43,76193,EQ,31,2457.84,75673
2026-06-05,135.0,135.0,134.5,134.86,512,EQ,26,19.69,485
2026-06-08,135.37,135.37,130.06,131.28,1656,EQ,80,20.7,898
