Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,6200.0,6665.0,6136.05,6572.65,138,EQ,37,3.73,119
2026-04-21,6300.05,6725.0,6300.05,6596.6,40,EQ,17,2.35,34
2026-04-22,6620.05,6701.0,6400.0,6701.0,65,EQ,44,1.48,27
2026-04-23,6690.05,6750.0,6400.0,6689.75,182,EQ,127,1.43,65
2026-04-24,6534.95,6689.75,6502.0,6502.0,139,EQ,69,2.01,10
2026-04-27,6749.95,6799.95,6300.0,6799.95,65,EQ,22,2.95,19
2026-04-28,6299.95,6731.9,6299.95,6697.0,168,EQ,63,2.67,102
2026-04-29,6750.05,7024.0,6531.6,6949.95,124,EQ,49,2.53,33
2026-04-30,6880.05,7052.5,6607.65,6805.1,282,EQ,54,5.22,226
2026-05-04,6805.0,6990.5,6620.0,6620.0,122,EQ,96,1.27,42
2026-05-05,6850.0,6900.0,6843.5,6843.5,5,EQ,4,1.25,3
2026-05-07,6843.5,6843.5,6600.0,6843.0,3,EQ,3,1.0,3
2026-05-08,6950.0,6950.0,6850.0,6850.0,3,EQ,3,1.0,2
