Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-23,467.7,470.0,374.2,374.2,7314994,EQ,69975,104.54,4765374
2026-03-24,369.0,383.3,311.1,350.8,2930604,EQ,53981,54.29,908188
2026-03-25,359.0,384.5,358.3,376.7,1827047,EQ,24581,74.33,951243
2026-03-27,376.05,376.1,345.5,356.45,872085,EQ,10393,83.91,568238
2026-03-30,351.05,351.05,315.35,322.9,713962,EQ,6843,104.33,555826
2026-04-01,329.65,350.85,328.0,335.55,279739,EQ,8430,33.18,34939
2026-04-02,332.0,339.15,320.0,333.65,135774,EQ,3881,34.98,32632
2026-04-06,331.05,345.6,331.05,336.9,172836,EQ,4529,38.16,33646
2026-04-07,336.6,340.0,323.0,325.25,125039,EQ,4201,29.76,39059
2026-04-08,339.85,339.85,315.0,318.2,232725,EQ,6158,37.79,115666
2026-04-09,322.0,324.95,314.35,315.75,154254,EQ,4783,32.25,42206
2026-04-10,315.6,322.0,306.5,311.2,201181,EQ,5535,36.35,66246
2026-04-13,303.7,331.65,303.5,317.25,432199,EQ,11956,36.15,94384
2026-04-15,324.7,330.0,313.2,322.0,307364,EQ,5746,53.49,75605
2026-04-16,322.0,326.45,315.3,319.05,112188,EQ,3084,36.38,36176
2026-04-17,319.0,322.35,313.65,316.6,87885,EQ,2529,34.75,39832
2026-04-20,318.15,343.7,312.35,322.55,2094224,EQ,10204,205.24,1763022
2026-04-21,327.55,387.05,324.05,351.0,2400676,EQ,36944,64.98,426204
2026-04-22,347.8,355.8,341.0,344.25,260381,EQ,5531,47.08,108511
2026-04-23,346.0,347.05,324.95,342.3,438417,EQ,9001,48.71,144052
2026-04-24,342.0,344.75,325.0,327.85,99684,EQ,2931,34.01,46286
2026-04-27,331.0,332.15,327.05,330.45,74733,EQ,2180,34.28,30111
2026-04-28,330.95,334.9,324.9,326.9,64234,EQ,2218,28.96,27897
2026-04-29,329.8,335.2,327.25,331.45,78190,EQ,2547,30.7,26554
2026-04-30,332.0,332.0,320.45,323.1,52791,EQ,2028,26.03,26668
2026-05-04,324.95,328.15,320.35,323.3,52177,EQ,1824,28.61,20700
2026-05-05,322.25,326.9,320.9,323.1,26455,EQ,1165,22.71,13200
2026-05-06,322.0,328.7,322.0,325.15,33714,EQ,1826,18.46,16304
2026-05-07,327.9,332.45,324.25,326.9,42305,EQ,1779,23.78,18852
2026-05-08,325.0,328.9,322.0,323.5,32707,EQ,1651,19.81,14258
2026-05-11,322.1,324.95,318.0,318.7,28231,EQ,1571,17.97,13787
2026-05-12,324.4,324.4,308.0,313.1,39477,EQ,1749,22.57,24442
2026-05-13,313.0,317.65,310.1,311.2,36888,EQ,1491,24.74,13276
2026-05-14,312.0,315.9,310.6,312.15,18839,EQ,1458,12.92,8827
2026-05-15,317.0,317.0,308.1,308.9,27356,EQ,1675,16.33,12506
2026-05-18,308.0,312.25,297.05,309.85,45922,EQ,2434,18.87,18782
2026-05-19,309.1,312.45,305.25,308.25,27591,EQ,1613,17.11,17466
2026-05-20,308.6,314.25,307.95,311.5,69837,EQ,1930,36.18,26052
2026-05-21,311.5,314.4,308.2,309.4,72773,EQ,2002,36.35,26119
2026-05-22,309.4,311.0,305.1,306.35,21375,EQ,1226,17.43,10969
2026-05-25,308.55,311.5,307.2,309.9,66877,EQ,1723,38.81,43160
2026-05-26,308.25,310.1,307.0,307.55,20022,EQ,1235,16.21,10111
2026-05-27,308.9,310.45,307.55,308.7,22788,EQ,1160,19.64,14967
2026-05-29,307.55,311.0,304.0,305.7,28940,EQ,1634,17.71,14613
2026-06-01,309.0,309.0,301.7,302.85,24635,EQ,1193,20.65,13956
2026-06-02,302.2,302.75,297.0,298.7,21242,EQ,1157,18.36,14851
2026-06-03,297.0,299.45,288.0,289.05,30966,EQ,1914,16.18,17710
2026-06-04,286.2,291.45,284.0,285.1,35468,EQ,1847,19.2,21825
2026-06-05,297.0,324.65,291.2,295.55,1189126,EQ,21527,55.24,102215
2026-06-08,294.4,301.0,290.6,293.95,47738,EQ,2088,22.86,15868
2026-06-09,298.5,298.5,292.0,293.65,22790,EQ,961,23.71,10363
2026-06-10,295.0,297.15,285.05,287.35,32966,EQ,1021,32.29,14399
2026-06-11,283.05,290.35,281.05,286.9,41454,EQ,1662,24.94,14602
2026-06-12,292.05,292.05,287.0,288.75,24078,EQ,1200,20.07,12792
