Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,650.0,689.0,630.0,672.1,2575,EQ,119,21.64,1872
2026-04-21,699.0,710.0,665.0,681.05,3475,EQ,217,16.01,2462
2026-04-22,683.0,689.05,620.0,635.45,18234,EQ,748,24.38,13841
2026-04-23,638.1,640.3,610.65,630.9,3098,EQ,150,20.65,2102
2026-04-24,650.0,655.0,602.0,608.95,10675,EQ,453,23.57,6045
2026-04-27,621.1,625.95,585.05,598.35,8652,EQ,438,19.75,6347
2026-04-28,639.9,649.0,600.65,630.4,5836,EQ,366,15.95,3385
2026-04-29,626.1,649.95,618.05,632.0,2569,EQ,291,8.83,1265
2026-04-30,649.65,649.65,567.95,599.75,24090,EQ,2199,10.95,10389
2026-05-04,598.0,619.95,595.0,611.3,4892,EQ,567,8.63,2483
2026-05-05,620.25,628.9,551.0,575.5,25615,EQ,2350,10.9,9319
2026-05-06,579.9,609.0,573.7,593.05,7033,EQ,700,10.05,4650
2026-05-07,608.8,629.0,595.0,625.95,3402,EQ,383,8.88,1925
2026-05-08,626.0,645.0,598.05,608.35,4294,EQ,431,9.96,2470
