Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-21,76.96,77.81,76.95,77.77,1448,EQ,35,41.37,962
2026-08-24,77.57,77.57,77.11,77.45,1845,EQ,29,63.62,1375
2026-08-25,75.54,77.45,75.54,77.45,1950,EQ,19,102.63,1419
2026-08-26,76.04,78.09,76.04,77.55,3167,EQ,17,186.29,3026
2026-08-27,77.82,77.82,77.16,77.37,106,EQ,11,9.64,67
2026-08-28,76.24,79.2,76.22,79.2,10260,EQ,13,789.23,10245
2026-08-31,78.4,78.4,75.53,75.96,7330,EQ,84,87.26,5152
2026-09-01,76.86,77.3,76.35,76.35,1301,EQ,31,41.97,998
2026-09-02,76.53,76.71,76.16,76.57,1849,EQ,23,80.39,791
2026-09-03,78.16,78.16,76.54,76.63,243,EQ,10,24.3,243
2026-09-04,77.7,77.7,76.54,76.56,972,EQ,17,57.18,524
