Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,34.35,34.35,28.0,33.0,2075,EQ,32,64.84,2066
2026-04-21,34.8,34.8,33.15,34.25,1542,EQ,30,51.4,1229
2026-04-22,34.75,34.75,33.1,33.85,3751,EQ,64,58.61,3738
2026-04-23,33.85,34.75,33.0,33.75,1531,EQ,44,34.8,1509
2026-04-24,33.8,34.2,33.0,34.2,355,EQ,24,14.79,349
2026-04-27,36.0,36.0,33.05,34.4,3271,EQ,75,43.61,2931
2026-04-28,36.0,36.0,33.1,34.7,1847,EQ,58,31.84,1739
2026-04-29,33.25,35.05,33.25,34.15,3692,EQ,96,38.46,3517
2026-04-30,34.15,35.3,32.6,33.95,1750,EQ,68,25.74,1415
2026-05-04,32.4,39.15,32.4,34.71,48276,EQ,329,146.74,33827
2026-05-05,37.0,38.5,35.0,35.7,10989,EQ,145,75.79,6797
2026-05-06,35.7,36.79,33.84,35.46,5187,EQ,100,51.87,2863
2026-05-07,34.83,37.0,34.65,35.76,3033,EQ,105,28.89,2556
2026-05-08,35.75,37.0,35.41,35.85,4303,EQ,97,44.36,2888
