Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,2538.0,2538.0,2501.0,2506.1,457,EQ,47,9.72,398
2026-04-21,2524.95,2525.05,2461.0,2492.3,2076,EQ,220,9.44,1665
2026-04-22,2501.05,2537.0,2492.3,2517.1,939,EQ,142,6.61,674
2026-04-23,2517.1,2561.85,2461.2,2536.2,1741,EQ,258,6.75,1153
2026-04-24,2527.0,2539.0,2479.0,2484.15,1233,EQ,284,4.34,880
2026-04-27,2484.15,2539.35,2473.0,2498.95,18370,EQ,850,21.61,16945
2026-04-28,2500.05,2520.0,2481.05,2502.25,17748,EQ,821,21.62,16792
2026-04-29,2492.55,2644.95,2484.05,2494.4,20416,EQ,1714,11.91,16405
2026-04-30,2494.4,2549.8,2475.0,2502.9,2669,EQ,639,4.18,1367
2026-05-04,2502.9,2541.9,2502.9,2513.4,2029,EQ,426,4.76,905
2026-05-05,2507.0,2515.0,2481.0,2497.3,1932,EQ,395,4.89,1213
2026-05-06,2524.9,2687.9,2493.8,2663.2,20989,EQ,2709,7.75,13684
2026-05-07,2663.2,2700.0,2625.0,2696.2,8939,EQ,886,10.09,7178
2026-05-08,2690.0,2731.0,2672.4,2711.2,3022,EQ,477,6.34,2124
2026-05-11,2652.0,2732.0,2652.0,2706.2,2568,EQ,454,5.66,1593
2026-05-12,2716.5,2737.8,2618.0,2634.8,1972,EQ,389,5.07,1453
2026-05-13,2642.9,2696.2,2619.9,2627.1,1869,EQ,524,3.57,574
2026-05-14,2632.7,2662.0,2615.3,2642.6,1680,EQ,270,6.22,1087
2026-05-15,2680.0,2695.0,2590.0,2635.0,842,EQ,200,4.21,461
2026-05-18,2601.0,2628.4,2552.0,2565.2,1261,EQ,427,2.95,706
2026-05-19,2598.0,2615.0,2546.1,2566.2,4300,EQ,445,9.66,3336
2026-05-20,2586.9,2594.9,2540.1,2568.4,1047,EQ,221,4.74,612
2026-05-21,2604.2,2608.3,2552.1,2560.2,1849,EQ,160,11.56,1454
2026-05-22,2576.9,2599.0,2572.3,2583.2,1089,EQ,189,5.76,844
2026-05-25,2582.8,2623.0,2569.8,2603.3,8869,EQ,445,19.93,8156
2026-05-26,2630.0,2660.0,2581.8,2639.3,12213,EQ,822,14.86,9474
2026-05-27,2658.9,2700.0,2648.1,2689.0,3021,EQ,459,6.58,2055
2026-05-29,2660.0,2703.6,2626.0,2640.8,2282,EQ,329,6.94,1649
2026-06-01,2640.0,2650.0,2600.0,2606.9,1194,EQ,259,4.61,722
2026-06-02,2632.4,2661.9,2575.1,2650.6,2663,EQ,338,7.88,1936
2026-06-03,2627.8,2705.0,2627.8,2647.2,3386,EQ,460,7.36,1789
2026-06-04,2661.1,2662.8,2600.0,2611.8,3709,EQ,161,23.04,3392
2026-06-05,2611.5,2639.8,2552.0,2560.5,10907,EQ,920,11.86,5892
2026-06-08,2560.0,2600.0,2527.0,2557.9,1523,EQ,408,3.73,853
2026-06-09,2559.6,2600.0,2550.1,2555.4,2110,EQ,275,7.67,1591
2026-06-10,2596.0,2624.0,2556.2,2592.8,3545,EQ,475,7.46,2557
2026-06-11,2599.9,2600.0,2541.1,2553.0,904,EQ,212,4.26,585
2026-06-12,2585.3,2600.0,2562.2,2576.1,754,EQ,163,4.63,507
2026-06-15,2628.0,2653.4,2599.8,2621.8,3048,EQ,346,8.81,2096
2026-06-16,2622.4,2676.0,2620.1,2672.6,1620,EQ,252,6.43,1161
2026-06-17,2675.0,2699.9,2602.0,2612.5,2820,EQ,566,4.98,1719
2026-06-18,2612.5,2637.1,2585.0,2603.5,1901,EQ,299,6.36,1382
2026-06-19,2606.0,2665.7,2600.1,2632.3,2716,EQ,373,7.28,1854
