Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,418.0,418.0,386.0,400.65,127,EQ,18,7.06,67
2026-04-21,401.0,423.95,392.05,400.0,77,EQ,16,4.81,75
2026-04-22,393.0,396.4,372.0,379.8,2558,EQ,215,11.9,1761
2026-04-23,380.5,393.0,379.95,386.15,940,EQ,70,13.43,595
2026-04-24,386.1,463.35,369.0,448.2,14963,EQ,589,25.4,10324
2026-04-27,419.0,447.8,408.0,409.95,15651,EQ,1125,13.91,6597
2026-04-28,412.9,424.0,403.25,408.05,2173,EQ,130,16.72,1098
2026-04-29,410.0,417.0,401.0,404.75,2495,EQ,196,12.73,1662
2026-04-30,398.5,409.0,394.0,409.0,354,BE,17,20.82,354
2026-05-04,390.5,417.0,390.0,397.85,2325,BE,78,29.81,2325
2026-05-05,395.9,405.0,395.9,403.05,1347,BE,19,70.89,1347
2026-05-06,404.0,410.0,395.15,400.65,635,BE,26,24.42,635
2026-05-07,398.65,411.0,381.6,403.25,957,BE,46,20.8,957
2026-05-08,402.8,409.0,402.8,408.0,602,BE,25,24.08,602
2026-05-11,415.0,415.0,391.0,401.85,736,BE,45,16.36,736
2026-05-12,399.0,404.0,385.1,388.15,198,BE,22,9.0,198
2026-05-13,398.0,400.0,392.0,394.35,1312,BE,34,38.59,1312
2026-05-14,385.0,401.0,383.15,387.95,1242,BE,44,28.23,1242
2026-05-15,387.95,398.45,382.5,385.5,1365,BE,65,21.0,1365
2026-05-18,385.5,385.5,366.55,369.75,3393,BE,71,47.79,3393
2026-05-19,369.0,380.8,369.0,377.9,1160,BE,62,18.71,1160
2026-05-20,376.05,379.3,369.0,370.65,271,BE,32,8.47,271
2026-05-21,370.0,386.45,363.0,382.95,728,BE,32,22.75,728
2026-05-22,382.95,386.0,382.0,384.35,1294,BE,29,44.62,1294
2026-05-25,386.0,391.9,382.0,391.9,1227,BE,34,36.09,1227
2026-05-26,390.0,397.5,372.35,377.0,807,BE,27,29.89,807
2026-05-27,384.0,384.0,362.2,373.4,1017,BE,39,26.08,1017
2026-05-29,375.0,379.0,360.5,364.5,1498,BE,61,24.56,1498
2026-06-01,366.3,368.0,360.0,366.15,468,BE,20,23.4,468
2026-06-02,363.0,378.8,359.35,363.65,858,BE,61,14.07,858
2026-06-03,365.0,367.0,360.0,365.65,284,BE,13,21.85,284
2026-06-04,364.0,365.9,359.8,360.35,145,BE,14,10.36,145
2026-06-05,355.5,360.35,342.35,352.65,2983,BE,82,36.38,2983
2026-06-08,351.7,351.95,345.0,346.75,960,BE,63,15.24,960
2026-06-09,353.0,353.0,345.6,345.8,377,BE,22,17.14,377
2026-06-10,358.0,358.0,352.2,352.2,52,BE,6,8.67,52
2026-06-11,352.2,356.75,334.7,339.9,1400,BE,54,25.93,1400
2026-06-12,341.0,348.0,340.0,341.2,415,BE,24,17.29,415
