Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,2430.0,2498.9,2430.0,2462.0,1331,EQ,254,5.24,976
2026-04-21,2497.0,2580.0,2436.0,2505.0,4797,EQ,706,6.79,3511
2026-04-22,2467.4,2594.5,2467.4,2527.2,3916,EQ,545,7.19,2327
2026-04-23,2545.0,2567.6,2450.0,2463.4,3372,EQ,596,5.66,1766
2026-04-24,2488.0,2538.0,2405.2,2481.4,5971,EQ,1728,3.46,3879
2026-04-27,2515.0,2714.0,2514.9,2688.5,19361,EQ,3902,4.96,13037
2026-04-28,2709.0,2709.0,2600.0,2617.6,3209,EQ,931,3.45,2156
2026-04-29,2630.6,2841.4,2602.2,2698.9,11576,EQ,2688,4.31,7044
2026-04-30,2699.5,2743.9,2630.0,2725.0,1388,EQ,309,4.49,1116
2026-05-04,2800.0,2800.0,2660.0,2721.1,3741,EQ,770,4.86,2777
2026-05-05,2721.1,2840.0,2655.5,2804.2,5364,EQ,1152,4.66,2941
2026-05-06,2848.9,2848.9,2711.0,2753.4,3551,EQ,1129,3.15,2194
2026-05-07,2753.4,2880.0,2753.4,2833.6,6610,EQ,966,6.84,4140
2026-05-08,3375.0,3400.3,3121.2,3128.3,170666,EQ,12736,13.4,82048
