Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,176.0,195.0,176.0,189.5,74,EQ,10,7.4,67
2026-04-21,187.0,197.95,187.0,195.05,728,EQ,21,34.67,721
2026-04-22,197.9,201.0,194.1,194.15,1090,EQ,44,24.77,1020
2026-04-23,201.95,201.95,196.1,199.0,1188,EQ,31,38.32,1184
2026-04-24,208.0,211.45,195.0,195.0,2298,EQ,66,34.82,1959
2026-04-27,195.0,202.0,194.95,200.25,699,EQ,18,38.83,582
2026-04-28,205.0,205.0,200.25,201.25,506,EQ,5,101.2,506
2026-04-29,195.0,201.25,195.0,195.9,700,EQ,11,63.64,700
2026-05-04,201.2,201.2,188.0,193.64,1436,EQ,253,5.68,1140
2026-05-05,193.64,195.2,189.01,189.05,210,EQ,17,12.35,206
2026-05-06,191.0,197.99,189.15,194.94,385,EQ,34,11.32,287
2026-05-07,203.0,203.0,181.3,195.26,1558,EQ,218,7.15,1264
2026-05-08,195.0,199.0,190.2,194.05,667,EQ,133,5.02,590
2026-05-11,190.02,198.0,190.0,197.82,562,EQ,16,35.12,555
2026-05-12,196.0,199.0,186.05,192.0,14087,EQ,1124,12.53,13600
2026-05-13,189.0,195.0,188.35,189.33,1440,EQ,56,25.71,1296
2026-05-14,188.01,197.99,182.04,186.66,601,EQ,95,6.33,572
2026-05-15,187.0,197.0,185.0,187.0,454,EQ,32,14.19,351
2026-05-18,187.2,187.2,177.56,183.05,1013,EQ,27,37.52,816
2026-05-19,179.39,196.15,176.0,178.95,3729,EQ,274,13.61,1186
2026-05-20,185.0,188.9,172.25,186.7,4333,EQ,292,14.84,3366
2026-05-21,183.0,184.9,177.06,177.84,3622,EQ,169,21.43,3302
2026-05-22,177.84,177.84,171.05,172.7,10565,EQ,314,33.65,9671
2026-05-25,178.7,180.0,169.14,172.06,13343,EQ,227,58.78,11927
2026-05-26,172.4,172.8,165.0,165.58,31439,EQ,306,102.74,29762
2026-05-27,166.0,169.9,162.05,163.91,16028,EQ,275,58.28,13105
2026-05-29,179.99,179.99,161.05,163.29,19806,EQ,174,113.83,18723
2026-06-01,160.0,165.0,155.0,160.29,26849,EQ,473,56.76,22197
2026-06-02,155.01,162.0,150.0,158.6,21491,EQ,299,71.88,19994
2026-06-03,155.0,164.7,148.27,156.75,25596,EQ,613,41.76,21855
2026-06-04,165.99,165.99,150.2,151.86,7478,EQ,250,29.91,6060
2026-06-05,154.0,174.0,153.95,170.75,30198,EQ,483,62.52,26118
2026-06-08,170.0,178.9,158.5,172.19,31579,EQ,437,72.26,27951
