Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,170.95,178.05,155.0,174.8,1271,EQ,72,17.65,1184
2026-04-21,178.2,179.2,172.0,176.65,4731,EQ,216,21.9,3637
2026-04-22,178.1,194.3,177.0,194.3,16942,EQ,471,35.97,11271
2026-04-23,213.0,213.7,201.05,213.0,61970,EQ,1294,47.89,29183
2026-04-24,223.7,223.7,192.3,198.85,36761,EQ,1169,31.45,20774
2026-04-27,199.95,208.7,194.75,202.8,10557,EQ,703,15.02,4930
2026-04-28,204.8,204.8,183.0,187.5,24547,EQ,854,28.74,15561
2026-04-29,187.5,192.5,180.05,182.9,11509,EQ,600,19.18,5350
2026-04-30,184.8,189.05,174.35,186.4,9292,EQ,784,11.85,3066
2026-05-04,191.6,192.48,183.05,184.5,5199,EQ,374,13.9,2858
2026-05-05,184.0,188.99,180.0,180.68,3963,EQ,186,21.31,2690
2026-05-06,183.6,183.6,175.25,178.69,7230,EQ,549,13.17,4353
2026-05-07,180.47,186.1,177.98,180.88,5939,EQ,451,13.17,3173
2026-05-08,176.0,184.9,176.0,180.43,7666,EQ,295,25.99,3559
2026-05-11,178.0,181.8,176.8,179.87,2027,EQ,119,17.03,1284
2026-05-12,180.7,180.94,175.05,177.03,5111,EQ,184,27.78,4284
2026-05-13,180.57,180.57,170.05,174.17,2172,EQ,183,11.87,1779
2026-05-14,170.69,187.6,170.69,174.67,4752,EQ,163,29.15,3623
2026-05-15,174.01,181.22,174.0,174.18,2847,EQ,80,35.59,2256
2026-05-18,174.18,179.18,169.12,170.95,5044,EQ,154,32.75,3673
2026-05-19,167.5,172.98,154.2,165.0,10585,EQ,352,30.07,9001
2026-05-20,165.0,173.95,165.0,169.12,2713,EQ,214,12.68,1404
2026-05-21,169.12,169.12,163.0,166.77,3098,EQ,187,16.57,2065
2026-05-22,168.0,168.99,162.0,164.97,2220,EQ,91,24.4,1734
2026-05-25,165.26,170.88,162.0,162.6,2271,EQ,123,18.46,1280
2026-05-26,164.0,164.0,158.05,159.67,2335,EQ,96,24.32,1879
2026-05-27,161.95,165.82,159.1,162.14,3234,EQ,179,18.07,2680
2026-05-29,163.0,168.8,161.85,161.98,6422,EQ,202,31.79,5012
2026-06-01,146.61,172.0,146.61,159.02,6071,EQ,290,20.93,5119
2026-06-02,168.0,168.0,155.1,158.03,3813,EQ,118,32.31,2769
2026-06-03,158.0,168.99,153.75,155.79,1131,EQ,139,8.14,845
2026-06-04,146.0,161.0,142.15,154.02,5597,EQ,154,36.34,3784
2026-06-05,150.16,159.9,146.5,153.11,2661,EQ,86,30.94,2315
2026-06-08,153.11,165.0,150.0,158.34,8847,EQ,198,44.68,5934
2026-06-09,160.0,164.09,153.2,161.84,2396,EQ,95,25.22,2238
2026-06-10,165.75,177.0,153.3,157.56,35705,EQ,1043,34.23,21573
2026-06-11,157.95,161.93,152.0,159.12,3093,EQ,145,21.33,1425
2026-06-12,157.0,162.75,156.0,160.54,2630,EQ,91,28.9,2301
2026-06-15,162.9,174.4,160.8,169.35,43153,EQ,864,49.95,22798
2026-06-16,167.01,171.99,166.01,170.03,10326,EQ,215,48.03,6581
2026-06-17,170.3,170.7,164.1,168.09,12030,EQ,241,49.92,7541
2026-06-18,165.61,178.0,162.17,165.33,8350,EQ,184,45.38,5662
2026-06-19,168.99,168.99,163.0,164.0,5587,EQ,132,42.33,4612
