Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-16,29.8,31.29,28.31,29.42,49715872,BE,129649,383.47,49715872
2026-02-17,28.55,29.2,27.95,27.95,34316148,BE,84181,407.65,34316148
2026-02-18,26.56,29.34,26.56,29.33,90581096,BE,51869,1746.34,90581096
2026-02-19,28.16,29.24,28.02,28.59,35430376,BE,113958,310.91,35430376
2026-02-20,28.27,28.65,27.37,27.73,12791488,BE,68496,186.75,12791488
2026-02-23,27.14,27.9,26.5,26.95,85455449,BE,133691,639.2,85455449
2026-02-24,26.5,26.85,25.7,26.21,19705896,BE,34464,571.78,19705896
2026-02-25,26.17,26.38,25.23,25.74,9306265,BE,25855,359.94,9306265
2026-02-26,26.0,26.69,25.72,25.94,10177805,BE,43333,234.87,10177805
2026-02-27,26.39,26.46,25.6,26.12,20356562,BE,27924,729.0,20356562
2026-03-02,25.01,28.24,25.01,28.01,45300436,EQ,41894,1081.31,24387461
2026-03-04,27.5,28.26,26.86,27.11,20841862,EQ,37943,549.29,10487896
2026-03-05,27.19,27.63,26.73,26.95,12017035,EQ,20009,600.58,6487427
2026-03-06,26.89,27.2,26.25,26.3,10063477,EQ,22342,450.43,6792772
2026-03-09,24.6,25.97,24.25,25.54,21047779,EQ,42418,496.2,12855181
2026-03-10,26.13,27.05,25.56,26.47,19672167,EQ,29696,662.45,11643364
2026-03-11,26.72,26.9,26.15,26.59,7016404,EQ,18847,372.28,4471295
2026-03-12,26.39,26.52,25.02,25.54,5991287,EQ,20790,288.18,3829304
2026-03-13,25.78,25.89,24.79,24.82,5337348,EQ,19977,267.17,3565411
2026-03-16,24.98,25.07,23.95,24.23,9174083,EQ,31303,293.07,5908569
2026-03-17,24.58,24.92,24.1,24.25,10259439,EQ,38669,265.31,6465694
2026-03-18,24.48,25.42,24.11,24.71,11998481,EQ,25978,461.87,7178328
2026-03-19,24.25,24.65,23.6,23.85,9923643,EQ,27058,366.75,6432380
2026-03-20,23.97,24.39,23.25,23.53,11253763,EQ,30043,374.59,6962750
2026-03-23,23.53,23.55,22.42,23.18,9903961,EQ,29894,331.3,5947937
2026-03-24,23.69,23.99,22.86,23.63,10501182,EQ,24125,435.28,4920012
2026-03-25,23.79,24.61,23.56,24.24,6609120,EQ,19929,331.63,3073358
2026-03-27,24.21,24.29,23.3,23.6,13085554,EQ,33633,389.07,6875198
2026-03-30,23.6,23.6,22.24,22.47,12208307,EQ,31602,386.31,6402271
2026-04-01,24.09,24.09,23.25,23.77,9107445,EQ,20942,434.89,4356246
2026-04-02,23.4,24.05,22.95,23.87,7790978,EQ,20515,379.77,3893270
2026-04-06,24.0,24.58,23.56,24.4,4794699,EQ,18245,262.8,2185561
2026-04-07,24.41,24.52,23.56,23.73,4622790,EQ,24110,191.74,2612641
2026-04-08,24.44,24.84,24.09,24.42,7920843,EQ,18682,423.98,4215400
2026-04-09,24.35,25.15,23.73,23.94,5830234,EQ,14734,395.7,3190448
2026-04-10,24.09,25.53,23.95,24.85,11469832,EQ,37818,303.29,5464229
2026-04-13,24.31,24.54,24.06,24.22,5712538,EQ,17382,328.65,3028897
2026-04-15,24.5,25.59,24.43,25.22,11797015,EQ,28433,414.91,6127459
2026-04-16,25.47,25.74,24.73,25.36,8367313,EQ,23558,355.18,3733291
2026-04-17,25.29,26.33,25.21,26.02,12112657,EQ,21042,575.64,6300298
2026-04-20,26.02,28.89,25.72,27.86,37697784,EQ,62729,600.96,13635993
2026-04-21,28.1,28.28,27.2,27.52,11492240,EQ,26721,430.08,5937140
2026-04-22,27.5,28.65,27.4,28.2,18806205,EQ,33786,556.63,8115470
2026-04-23,28.19,29.32,27.9,28.11,17330791,EQ,27473,630.83,6939218
2026-04-24,28.2,28.47,27.0,27.19,7828531,EQ,19401,403.51,4372709
2026-04-27,27.5,27.97,27.2,27.48,5687078,EQ,15285,372.07,2605904
2026-04-28,27.5,27.75,26.66,26.84,5009956,EQ,18455,271.47,3020907
2026-04-29,27.19,27.25,26.5,26.9,5462688,EQ,17777,307.29,2950547
2026-04-30,26.75,27.79,26.31,27.23,7666115,EQ,20234,378.87,3775785
2026-05-04,27.73,27.95,26.84,27.4,4932123,EQ,14733,334.77,2592321
2026-05-05,27.33,30.39,27.2,29.84,40144280,EQ,64036,626.9,19878398
2026-05-06,29.79,30.3,29.15,29.85,21858338,EQ,41130,531.45,10404063
2026-05-07,30.4,31.19,28.86,28.97,24924615,EQ,52043,478.92,12435593
2026-05-08,29.0,29.85,28.54,29.18,10254703,EQ,22997,445.91,4372593
