Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,51.65,51.98,47.0,49.11,428,EQ,10,42.8,377
2026-08-18,50.9,50.9,50.33,50.33,43,EQ,4,10.75,42
2026-08-19,48.05,49.69,48.0,49.69,967,EQ,7,138.14,967
2026-08-20,49.5,49.5,49.0,49.25,487,EQ,8,60.88,487
2026-08-21,51.5,51.5,47.0,50.8,112,EQ,6,18.67,112
2026-08-24,51.25,51.25,47.0,51.2,9,EQ,4,2.25,9
2026-08-25,51.5,51.5,49.0,49.0,281,EQ,8,35.12,241
2026-08-26,50.0,53.95,50.0,53.47,139,EQ,8,17.38,130
2026-08-27,52.9,52.9,52.1,52.1,13,EQ,4,3.25,13
2026-08-28,50.9,50.9,50.9,50.9,10,EQ,1,10.0,10
2026-08-31,51.15,51.15,49.0,49.4,48,EQ,6,8.0,48
2026-09-01,50.0,50.0,49.6,49.6,59,EQ,2,29.5,59
2026-09-02,48.2,52.85,48.2,50.06,102,EQ,7,14.57,90
2026-09-03,54.0,54.0,47.05,51.7,232,EQ,12,19.33,225
2026-09-04,50.3,51.45,42.7,51.4,23,EQ,8,2.88,12
