Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,44.1,44.1,44.1,44.1,10,EQ,2,5.0,10
2026-04-21,44.3,44.3,44.0,44.0,108,EQ,7,15.43,106
2026-04-22,44.05,52.8,43.95,50.6,193266,EQ,964,200.48,112818
2026-04-23,51.7,51.7,48.3,48.7,61999,EQ,636,97.48,36720
2026-04-24,48.7,50.85,48.4,49.1,11720,EQ,191,61.36,6237
2026-04-27,49.6,49.6,48.65,48.9,16135,EQ,48,336.15,15767
2026-04-28,49.6,49.6,47.0,47.75,15841,EQ,272,58.24,8498
2026-04-29,49.45,50.25,45.3,47.65,87893,EQ,804,109.32,67378
2026-04-30,50.4,50.4,47.35,48.85,20474,EQ,194,105.54,10892
2026-05-04,49.55,53.9,48.51,49.25,61516,EQ,183,336.15,38847
2026-05-05,51.95,51.95,47.4,48.12,75594,EQ,582,129.89,15006
2026-05-06,49.55,50.48,47.7,48.81,41087,EQ,281,146.22,20970
2026-05-07,49.45,49.45,46.0,46.7,37320,EQ,443,84.24,16717
2026-05-08,48.3,50.8,46.0,46.73,103245,EQ,485,212.88,46796
2026-05-11,47.2,47.95,46.0,46.33,6986,EQ,128,54.58,4493
2026-05-12,47.19,47.19,45.1,45.89,3592,EQ,102,35.22,1406
2026-05-13,46.99,46.99,45.27,46.47,1652,EQ,33,50.06,1269
2026-05-14,47.0,47.0,45.0,46.28,6008,EQ,56,107.29,2770
2026-05-15,46.5,46.89,42.45,43.72,12594,EQ,64,196.78,10534
2026-05-18,44.49,44.49,41.93,42.66,5791,EQ,191,30.32,5009
2026-05-19,43.55,43.55,42.0,42.57,874,EQ,86,10.16,866
2026-05-20,41.21,43.75,34.06,42.45,27661,EQ,154,179.62,13789
2026-05-21,43.59,44.7,42.1,43.79,13327,EQ,153,87.1,7156
2026-05-22,44.0,44.0,42.7,42.8,1781,EQ,67,26.58,1213
2026-05-25,44.0,44.0,41.2,43.59,1079,EQ,41,26.32,874
2026-05-26,41.66,43.48,41.66,43.14,1543,EQ,61,25.3,1316
2026-05-27,41.23,43.47,41.23,43.4,80,EQ,12,6.67,74
2026-05-29,43.6,43.6,42.1,42.1,5714,EQ,38,150.37,4855
2026-06-01,41.2,46.9,40.74,42.4,3135,EQ,55,57.0,1530
2026-06-02,42.4,46.0,35.15,42.31,17620,EQ,324,54.38,7907
2026-06-03,42.4,44.78,40.45,41.27,21760,EQ,401,54.26,14069
2026-06-04,41.2,43.46,40.0,41.67,136199,EQ,565,241.06,67762
2026-06-05,42.25,45.88,39.26,43.99,149759,EQ,1061,141.15,83550
2026-06-08,42.5,45.0,42.5,42.74,240703,EQ,1175,204.85,43554
2026-06-09,42.74,45.4,42.5,45.12,138737,EQ,646,214.76,36859
2026-06-10,45.44,50.8,43.61,44.91,196720,EQ,984,199.92,130623
2026-06-11,45.9,47.7,44.0,44.74,105065,EQ,737,142.56,54289
2026-06-12,45.5,46.0,41.3,43.36,54613,EQ,376,145.25,29644
2026-06-15,44.0,46.97,43.0,44.89,65693,EQ,778,84.44,33590
2026-06-16,44.85,44.94,44.01,44.14,604,EQ,19,31.79,454
2026-06-17,44.52,47.9,44.52,46.26,19459,EQ,292,66.64,12908
2026-06-18,45.1,46.74,42.25,44.66,11211,EQ,60,186.85,1066
2026-06-19,44.95,46.87,44.0,44.16,2365,EQ,50,47.3,1775
2026-06-22,44.16,46.69,44.16,45.82,8387,EQ,55,152.49,5021
2026-06-23,44.23,45.8,44.0,44.16,1363,EQ,31,43.97,1000
2026-06-24,45.0,46.0,43.7,45.61,5231,EQ,95,55.06,4406
2026-06-25,45.61,45.99,44.02,44.27,1432,EQ,40,35.8,946
