Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,9.1,9.45,8.0,8.9,134271,EQ,190,706.69,74353
2026-04-21,9.2,9.25,8.8,9.15,47192,EQ,257,183.63,39629
2026-04-22,9.1,9.2,8.9,9.05,77133,EQ,310,248.82,65482
2026-04-23,9.1,9.5,8.5,9.0,456300,EQ,683,668.08,276324
2026-04-24,9.3,9.9,9.1,9.55,319917,EQ,687,465.67,233580
2026-04-27,9.65,9.9,9.5,9.6,143302,EQ,479,299.17,116058
2026-04-28,9.85,9.85,9.5,9.5,97873,EQ,347,282.05,73457
2026-04-29,9.4,9.75,9.3,9.35,46694,EQ,338,138.15,35478
2026-04-30,9.35,9.55,9.2,9.2,59981,EQ,329,182.31,50279
2026-05-04,9.64,9.64,9.03,9.09,205910,EQ,463,444.73,165380
2026-05-05,9.09,9.38,9.02,9.18,47929,EQ,352,136.16,35107
2026-05-06,9.19,9.33,9.19,9.27,64015,EQ,216,296.37,62329
2026-05-07,9.45,9.45,9.12,9.24,210699,EQ,321,656.38,177528
2026-05-08,9.4,9.4,9.15,9.23,161129,EQ,422,381.82,131704
2026-05-11,9.44,9.44,8.78,9.02,128722,EQ,625,205.96,99484
2026-05-12,9.02,9.02,8.8,8.89,118100,EQ,516,228.88,91565
2026-05-13,8.86,9.15,8.8,8.85,130618,EQ,345,378.6,107036
2026-05-14,8.85,9.3,8.76,8.79,118274,EQ,636,185.97,89234
2026-05-15,8.79,8.84,8.0,8.53,334980,EQ,806,415.61,234765
2026-05-18,8.62,8.62,8.2,8.48,144255,EQ,492,293.2,91630
2026-05-19,8.48,8.63,8.3,8.38,115913,EQ,421,275.33,83609
2026-05-20,8.28,8.69,8.28,8.37,115601,EQ,420,275.24,75854
2026-05-21,8.37,8.64,8.37,8.44,51497,EQ,286,180.06,31359
2026-05-22,8.31,8.59,8.2,8.34,78017,EQ,337,231.5,55608
2026-05-25,8.38,8.65,8.31,8.34,96823,EQ,487,198.82,65650
2026-05-26,8.34,8.63,8.3,8.48,115238,EQ,419,275.03,74304
2026-05-27,8.65,8.69,8.26,8.39,177368,EQ,588,301.65,115084
2026-05-29,8.38,8.65,8.2,8.5,123876,EQ,433,286.09,99741
2026-06-01,8.69,8.9,8.4,8.46,117912,EQ,373,316.12,98538
2026-06-02,8.65,8.75,8.25,8.59,135708,EQ,299,453.87,98536
2026-06-03,8.59,8.8,8.35,8.47,112559,EQ,365,308.38,72239
2026-06-04,8.64,8.64,8.37,8.49,58314,EQ,306,190.57,50529
2026-06-05,8.54,8.55,8.31,8.33,113211,EQ,431,262.67,88633
2026-06-08,8.33,8.6,8.3,8.31,92598,EQ,328,282.31,74435
2026-06-09,8.2,8.63,8.2,8.49,215610,EQ,357,603.95,105517
2026-06-10,8.33,9.42,8.33,8.75,1161616,EQ,1567,741.3,557274
2026-06-11,8.99,9.29,8.58,8.69,209405,EQ,656,319.21,153880
2026-06-12,8.69,8.97,8.5,8.65,140177,EQ,676,207.36,103632
2026-06-15,8.7,9.5,8.7,9.35,658324,EQ,784,839.7,488340
2026-06-16,9.68,9.7,8.4,8.88,394684,EQ,1177,335.33,273576
2026-06-17,8.62,9.35,8.62,8.95,182291,EQ,547,333.26,114570
2026-06-18,8.97,9.28,8.71,8.82,136846,EQ,421,325.05,89860
2026-06-19,8.82,9.13,8.77,8.88,98997,EQ,342,289.46,70010
