Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,318.85,330.0,296.05,300.0,613,EQ,23,26.65,481
2026-04-21,314.0,319.0,314.0,315.3,710,EQ,41,17.32,701
2026-04-22,317.05,328.5,315.4,317.0,743,EQ,73,10.18,629
2026-04-23,320.05,320.05,315.05,316.0,130,EQ,25,5.2,124
2026-04-24,317.05,322.35,311.2,313.5,1491,EQ,101,14.76,1216
2026-04-27,311.0,326.15,307.0,310.5,2576,EQ,193,13.35,1885
2026-04-28,315.0,321.05,314.0,314.8,561,EQ,51,11.0,474
2026-04-29,317.95,330.0,317.95,321.1,854,EQ,93,9.18,820
2026-04-30,320.0,320.0,314.0,317.2,350,EQ,24,14.58,344
2026-05-04,312.3,320.05,274.0,319.0,4269,EQ,209,20.43,1989
2026-05-05,295.05,323.0,295.05,316.05,3400,EQ,203,16.75,2816
2026-05-06,319.95,322.9,314.8,316.2,781,EQ,108,7.23,401
2026-05-07,316.2,321.9,315.05,321.3,621,EQ,46,13.5,580
2026-05-08,321.3,321.3,314.05,320.15,384,EQ,33,11.64,340
2026-05-11,320.1,320.1,315.0,316.2,876,EQ,38,23.05,851
2026-05-12,317.0,321.9,299.9,301.55,2033,EQ,135,15.06,1733
2026-05-13,302.1,322.0,295.0,302.65,1838,EQ,79,23.27,1073
2026-05-14,301.0,318.0,300.0,306.0,1931,EQ,158,12.22,1320
2026-05-15,300.9,310.9,300.9,305.5,1006,EQ,95,10.59,720
2026-05-18,306.0,311.85,290.35,297.55,2827,EQ,124,22.8,2175
2026-05-19,308.0,308.0,298.0,300.2,403,EQ,50,8.06,346
2026-05-20,300.2,309.55,300.0,304.3,1810,EQ,83,21.81,1511
2026-05-21,312.0,321.0,310.0,319.35,3975,EQ,180,22.08,3087
2026-05-22,323.95,323.95,313.25,322.35,3324,EQ,116,28.66,3171
2026-05-25,328.05,343.0,328.05,338.0,15808,EQ,617,25.62,11482
2026-05-26,344.9,344.9,333.05,337.9,3499,EQ,272,12.86,3006
