Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,164.6,171.95,150.05,152.59,315,EQ,14,22.5,241
2026-08-18,160.0,162.0,158.0,159.83,717,EQ,42,17.07,682
2026-08-19,158.0,175.0,150.0,168.72,9939,EQ,419,23.72,6985
2026-08-20,168.72,183.99,168.72,173.78,6660,EQ,109,61.1,6174
2026-08-21,179.0,190.0,175.0,186.88,18782,EQ,275,68.3,16553
2026-08-24,190.0,224.25,189.5,220.86,80950,EQ,1556,52.02,50621
2026-08-25,228.0,236.0,212.55,215.51,76863,EQ,1924,39.95,38338
2026-08-26,220.02,222.99,210.0,214.49,4246,EQ,138,30.77,3529
2026-08-27,207.0,213.98,205.12,206.11,7822,EQ,245,31.93,5954
2026-08-28,206.0,206.11,195.02,198.73,6128,EQ,185,33.12,5363
2026-08-31,200.0,203.99,183.21,185.19,13591,EQ,431,31.53,10396
2026-09-01,185.3,189.19,185.2,187.6,3955,EQ,104,38.03,3163
2026-09-02,188.48,188.48,181.6,182.7,1964,EQ,101,19.45,1466
2026-09-03,188.0,200.97,182.06,200.77,9968,EQ,443,22.5,6367
2026-09-04,206.85,206.85,188.4,189.9,6513,EQ,439,14.84,4237
