Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-19,120.0,123.0,114.0,114.0,1010400,ST,460,2196.52,1009200
2026-02-20,112.0,116.9,108.3,109.0,139200,ST,97,1435.05,123600
2026-02-23,109.0,113.5,105.0,109.0,32400,ST,26,1246.15,30000
2026-02-24,109.0,109.0,103.8,103.95,19200,ST,11,1745.45,19200
2026-02-25,100.0,101.8,98.8,98.8,60000,ST,36,1666.67,51600
2026-02-26,102.95,103.2,98.25,98.25,20400,ST,13,1569.23,20400
2026-02-27,98.3,103.15,98.3,103.15,21600,ST,16,1350.0,19200
2026-03-02,103.15,107.2,101.0,101.5,16800,ST,13,1292.31,15600
2026-03-04,98.0,98.0,98.0,98.0,1200,ST,1,1200.0,1200
2026-03-05,93.1,102.9,93.1,102.9,90000,ST,39,2307.69,87600
2026-03-06,104.0,112.85,99.75,102.0,115200,SM,75,1536.0,88800
2026-03-09,101.2,101.2,100.0,100.0,2400,SM,2,1200.0,1200
2026-03-10,103.0,110.8,103.0,106.15,68400,SM,42,1628.57,61200
2026-03-11,106.0,106.0,106.0,106.0,1200,SM,1,1200.0,1200
2026-03-16,97.0,102.0,97.0,99.75,15600,SM,13,1200.0,12000
2026-03-17,99.75,100.0,98.5,98.75,6000,SM,5,1200.0,4800
2026-03-18,104.0,105.95,104.0,105.95,2400,SM,2,1200.0,1200
2026-03-20,96.0,99.0,94.0,98.8,16800,SM,11,1527.27,15600
2026-03-23,91.0,93.0,90.85,92.95,28800,SM,11,2618.18,27600
2026-03-24,92.95,92.95,87.0,89.0,4800,SM,3,1600.0,4800
2026-03-25,90.0,97.0,89.0,96.05,10800,SM,8,1350.0,9600
2026-03-27,94.0,94.0,94.0,94.0,3600,SM,1,3600.0,3600
2026-03-30,90.0,93.5,90.0,93.5,4800,SM,2,2400.0,4800
2026-04-01,95.0,109.0,91.0,97.0,51600,SM,25,2064.0,24000
2026-04-07,91.25,91.8,91.0,91.35,6000,SM,5,1200.0,6000
2026-04-08,92.5,98.0,92.5,97.95,181200,SM,39,4646.15,168000
2026-04-09,97.9,100.05,97.85,99.55,60000,SM,12,5000.0,55200
2026-04-10,94.25,94.25,94.2,94.2,2400,SM,2,1200.0,2400
2026-04-13,94.2,94.2,94.2,94.2,1200,SM,1,1200.0,1200
2026-04-17,91.4,95.25,91.4,94.25,7200,SM,6,1200.0,3600
2026-04-20,94.25,94.25,92.25,92.25,3600,SM,3,1200.0,2400
2026-04-21,93.95,94.0,93.95,94.0,8400,SM,4,2100.0,8400
2026-04-22,95.0,95.0,95.0,95.0,1200,SM,1,1200.0,1200
2026-04-24,93.3,93.3,92.25,92.25,4800,SM,4,1200.0,3600
2026-04-28,90.1,90.1,90.1,90.1,1200,SM,1,1200.0,1200
2026-04-29,93.9,104.1,93.9,95.9,20400,SM,17,1200.0,13200
2026-04-30,91.35,99.9,91.35,95.0,7200,SM,6,1200.0,3600
2026-05-04,98.0,98.0,94.0,94.0,2400,SM,2,1200.0,2400
2026-05-05,97.0,97.0,96.0,96.0,4800,SM,4,1200.0,4800
2026-05-06,95.0,95.0,95.0,95.0,1200,SM,1,1200.0,1200
2026-05-07,95.0,95.0,93.5,93.5,2400,SM,2,1200.0,2400
2026-05-08,92.3,92.3,90.0,90.4,25200,SM,13,1938.46,22800
