Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,690.0,690.0,676.0,676.0,26,EQ,12,2.17,24
2026-04-21,710.0,710.0,685.0,685.0,6,EQ,2,3.0,6
2026-04-22,690.0,690.0,670.0,679.25,66,EQ,10,6.6,65
2026-04-23,690.0,690.0,670.0,673.75,64,EQ,7,9.14,64
2026-04-24,687.95,690.0,687.95,690.0,221,EQ,8,27.62,221
2026-04-27,740.0,740.0,660.0,689.6,254,EQ,28,9.07,247
2026-04-28,689.95,690.0,625.05,678.35,34,EQ,17,2.0,32
2026-04-29,690.0,690.0,685.0,685.0,6,EQ,2,3.0,6
2026-04-30,730.0,730.0,654.3,682.35,75,EQ,15,5.0,72
2026-05-04,779.95,779.95,665.05,685.1,37,EQ,20,1.85,32
2026-05-05,690.0,690.0,665.0,685.0,17,EQ,7,2.43,17
2026-05-06,690.0,690.0,675.0,690.0,239,EQ,9,26.56,239
2026-05-07,690.0,690.0,689.9,690.0,158,EQ,9,17.56,158
2026-05-08,690.0,690.0,630.0,687.65,421,EQ,58,7.26,357
