Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,19.0,24.0,19.0,22.1,543,EQ,19,28.58,501
2026-04-21,21.25,24.0,21.25,23.4,1029,EQ,33,31.18,953
2026-04-22,24.55,24.7,20.0,22.85,2085,EQ,50,41.7,1588
2026-04-23,22.8,24.45,21.2,23.2,1236,EQ,17,72.71,1126
2026-04-24,23.55,23.55,21.25,21.65,1328,EQ,34,39.06,664
2026-04-27,21.65,23.75,21.65,21.75,910,EQ,51,17.84,840
2026-04-28,22.45,22.8,21.75,22.1,657,EQ,21,31.29,555
2026-04-29,23.45,23.95,21.45,22.65,4828,EQ,86,56.14,3872
2026-04-30,23.95,23.95,22.25,23.15,413,EQ,24,17.21,279
2026-05-04,24.4,24.4,22.22,24.03,1557,EQ,24,64.88,1507
2026-05-05,24.99,24.99,23.0,24.27,10546,EQ,110,95.87,4285
2026-05-06,25.39,25.4,24.0,24.8,2936,EQ,105,27.96,2908
2026-05-07,25.74,25.74,22.21,24.85,2022,EQ,86,23.51,1777
2026-05-08,25.99,29.82,23.42,29.0,111705,EQ,915,122.08,32319
2026-05-11,31.9,31.9,26.56,29.7,156218,EQ,1409,110.87,39672
2026-05-12,28.95,31.9,27.0,27.53,40192,EQ,493,81.53,17070
2026-05-13,28.99,29.1,26.91,27.11,6557,EQ,98,66.91,3528
2026-05-14,29.8,29.8,25.65,26.98,34491,EQ,246,140.21,20299
2026-05-15,26.85,26.85,24.41,24.88,2980,EQ,57,52.28,1906
2026-05-18,26.79,26.79,23.08,24.0,6618,EQ,75,88.24,5725
2026-05-19,24.99,26.95,24.78,26.51,8130,EQ,136,59.78,7590
2026-05-20,26.79,27.49,23.87,24.8,21158,EQ,360,58.77,6072
2026-05-21,26.85,26.98,24.0,25.26,10606,EQ,217,48.88,5733
2026-05-22,25.92,26.75,24.72,26.03,3575,EQ,120,29.79,2325
2026-05-25,27.39,28.95,25.55,26.84,31748,EQ,353,89.94,12145
2026-05-26,27.8,27.8,26.0,26.25,6312,EQ,80,78.9,3196
2026-05-27,27.2,27.2,25.56,25.64,3087,EQ,36,85.75,2133
2026-05-29,28.59,28.59,24.86,25.43,16036,EQ,339,47.3,4176
2026-06-01,25.43,27.59,25.43,25.49,1111,EQ,39,28.49,1063
2026-06-02,27.49,27.49,25.0,26.62,6978,EQ,188,37.12,2357
2026-06-03,26.62,31.39,24.65,27.43,48812,EQ,314,155.45,43236
2026-06-04,28.85,29.73,26.0,26.86,66749,EQ,481,138.77,23928
2026-06-05,26.0,26.86,25.1,25.16,8357,EQ,151,55.34,6886
2026-06-08,26.0,26.99,25.16,26.39,2367,EQ,159,14.89,2092
2026-06-09,27.3,27.3,24.37,25.11,6712,EQ,116,57.86,4328
2026-06-10,26.0,26.95,25.0,25.47,344,EQ,23,14.96,278
2026-06-11,26.0,26.75,23.53,23.73,4687,EQ,56,83.7,4024
2026-06-12,24.6,25.97,23.2,25.77,1560,EQ,31,50.32,1398
2026-06-15,26.7,26.7,25.0,25.32,8077,EQ,76,106.28,3025
2026-06-16,26.2,26.2,25.3,25.54,255,EQ,22,11.59,175
2026-06-17,25.85,26.4,25.0,25.02,4529,EQ,55,82.35,2580
2026-06-18,25.9,26.75,25.3,25.52,4590,EQ,75,61.2,1758
2026-06-19,25.52,26.91,25.35,25.42,1311,EQ,34,38.56,924
