Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-02,36.86,36.86,36.13,36.13,72600,BE,321,226.17,72600
2026-06-03,35.41,35.41,35.41,35.41,14166,BE,99,143.09,14166
2026-06-04,34.71,34.71,34.71,34.71,8968,BE,98,91.51,8968
2026-06-05,34.02,34.02,34.02,34.02,12789,BE,78,163.96,12789
2026-06-08,33.34,33.34,33.34,33.34,5477,BE,91,60.19,5477
2026-06-09,32.68,32.68,32.68,32.68,11665,BE,116,100.56,11665
2026-06-10,32.03,32.03,32.03,32.03,11973,BE,87,137.62,11973
2026-06-11,31.39,31.39,31.39,31.39,11308,BE,101,111.96,11308
2026-06-12,30.77,30.77,30.77,30.77,16398,BE,160,102.49,16398
2026-06-15,30.16,31.38,30.16,31.38,84499,BE,428,197.43,84499
2026-06-16,31.5,32.0,31.5,32.0,48220,BE,192,251.15,48220
2026-06-17,32.0,32.15,32.0,32.0,44193,BE,229,192.98,44193
2026-06-18,32.64,32.64,32.64,32.64,28169,BE,98,287.44,28169
2026-06-19,33.29,33.29,33.29,33.29,20819,BE,93,223.86,20819
2026-06-22,33.95,33.95,33.95,33.95,14591,BE,87,167.71,14591
2026-06-23,34.62,34.62,34.62,34.62,93497,BE,140,667.84,93497
2026-06-24,35.31,35.31,35.31,35.31,112487,BE,161,698.68,112487
2026-06-25,35.3,35.3,34.61,34.61,64597,BE,246,262.59,64597
