Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,135.5,149.0,128.0,129.2,4799,EQ,83,57.82,4263
2026-04-21,140.0,140.0,125.0,126.65,2703,EQ,80,33.79,2161
2026-04-22,133.15,140.0,126.1,133.05,7401,EQ,158,46.84,5060
2026-04-23,137.6,141.95,128.4,131.55,1285,EQ,69,18.62,1031
2026-04-24,126.1,129.9,123.95,128.95,747,EQ,46,16.24,678
2026-04-27,128.95,136.8,110.0,128.3,345,EQ,43,8.02,288
2026-04-28,128.3,130.0,121.05,124.6,713,EQ,30,23.77,679
2026-04-29,128.8,128.8,128.8,128.8,101,EQ,2,50.5,101
2026-04-30,128.8,134.5,125.1,134.5,62,EQ,5,12.4,50
2026-05-04,134.5,134.5,125.0,125.31,764,EQ,52,14.69,583
2026-05-05,125.3,127.3,125.3,127.3,134,EQ,10,13.4,134
2026-05-06,127.3,132.0,125.0,129.75,424,EQ,29,14.62,417
2026-05-07,132.0,132.0,125.12,126.03,240,EQ,10,24.0,182
2026-05-08,126.03,133.08,126.03,130.92,456,EQ,22,20.73,456
