Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,11.3,11.3,10.0,10.9,7578,EQ,63,120.29,5813
2026-04-21,10.95,11.25,10.0,10.2,40956,EQ,162,252.81,36311
2026-04-22,10.6,10.9,10.15,10.35,17151,EQ,153,112.1,14409
2026-04-23,10.0,10.65,10.0,10.2,33643,EQ,134,251.07,29449
2026-04-24,10.4,10.7,10.1,10.3,1915,EQ,43,44.53,1783
2026-04-27,10.9,10.9,10.15,10.25,12373,EQ,72,171.85,10964
2026-04-28,9.6,10.8,9.6,10.5,16373,EQ,154,106.32,15157
2026-04-29,10.1,10.5,10.1,10.4,5913,EQ,124,47.69,4669
2026-04-30,10.9,10.95,9.9,10.55,64475,EQ,162,397.99,36271
2026-05-04,9.02,10.95,9.02,10.33,28930,EQ,445,65.01,22406
2026-05-05,10.7,12.39,10.17,12.39,316749,EQ,1052,301.09,221204
2026-05-06,14.38,14.86,13.65,14.86,1156126,EQ,2876,401.99,487974
2026-05-07,16.21,16.34,15.11,16.16,1052817,EQ,2760,381.46,490766
2026-05-08,15.77,15.85,14.76,15.15,519462,EQ,1009,514.83,247709
