Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-10,16.57,16.75,16.57,16.74,8983,EQ,37,242.78,4870
2026-04-13,16.82,16.82,16.35,16.61,20118,EQ,66,304.82,11131
2026-04-15,16.9,16.95,16.81,16.86,19451,EQ,50,389.02,11705
2026-04-16,16.93,16.98,16.73,16.73,22015,EQ,41,536.95,21996
2026-04-17,16.73,16.87,16.73,16.87,6969,EQ,29,240.31,6660
2026-04-20,17.18,17.18,16.85,16.86,7807,EQ,61,127.98,5679
2026-04-21,17.03,17.16,17.03,17.14,4003,EQ,37,108.19,2650
2026-04-22,17.14,17.14,16.94,17.01,7972,EQ,93,85.72,7900
2026-04-23,16.85,16.91,16.72,16.8,57519,EQ,84,684.75,51783
2026-04-24,16.8,16.8,16.63,16.72,25377,EQ,73,347.63,24208
2026-04-27,16.72,16.76,16.64,16.74,2584,EQ,42,61.52,2037
2026-04-28,16.68,16.77,16.48,16.51,3776,EQ,56,67.43,3671
2026-04-29,16.59,16.66,16.48,16.48,23208,EQ,36,644.67,22883
2026-04-30,16.48,16.48,16.17,16.35,22266,EQ,63,353.43,16593
2026-05-04,16.42,16.53,16.27,16.34,2076,EQ,76,27.32,2011
2026-05-05,16.28,16.29,16.1,16.22,19184,EQ,46,417.04,11151
2026-05-06,16.31,16.65,16.18,16.65,12043,EQ,40,301.08,6720
2026-05-07,16.98,16.98,16.6,16.65,23493,EQ,40,587.33,19507
2026-05-08,16.65,16.65,16.34,16.39,10309,EQ,55,187.44,6000
