Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,64.1,67.3,61.25,67.3,555200,ST,204,2721.57,545600
2026-03-04,63.95,63.95,63.95,63.95,8000,ST,5,1600.0,8000
2026-03-05,60.8,60.8,60.8,60.8,6400,ST,4,1600.0,6400
2026-03-06,58.1,58.3,57.8,57.8,72000,ST,35,2057.14,64000
2026-03-09,54.95,54.95,54.95,54.95,3200,ST,1,3200.0,3200
2026-03-10,52.25,57.65,52.25,54.0,169600,ST,71,2388.73,155200
2026-03-11,54.8,54.95,51.3,51.3,44800,ST,25,1792.0,44800
2026-03-12,51.3,51.3,48.8,49.9,22400,ST,14,1600.0,22400
2026-03-13,48.0,52.35,47.45,48.1,60800,ST,30,2026.67,51200
2026-03-16,48.1,49.0,48.0,48.0,14400,ST,8,1800.0,12800
2026-03-17,48.0,48.2,48.0,48.05,16000,SM,7,2285.71,14400
2026-03-18,48.0,48.0,46.25,46.25,19200,SM,12,1600.0,19200
2026-03-19,45.0,46.0,45.0,45.0,20800,SM,11,1890.91,20800
2026-03-20,45.3,54.0,45.3,54.0,107200,SM,53,2022.64,88000
2026-03-23,55.0,59.45,52.5,58.5,56000,SM,29,1931.03,40000
2026-03-24,60.0,64.8,60.0,61.5,78400,SM,40,1960.0,75200
2026-03-25,63.0,65.45,63.0,64.75,72000,SM,39,1846.15,68800
2026-03-27,66.35,66.35,58.3,58.65,56000,SM,19,2947.37,54400
2026-03-30,57.0,57.0,52.8,52.85,14400,SM,9,1600.0,14400
2026-04-01,55.2,55.2,55.2,55.2,1600,SM,1,1600.0,1600
2026-04-02,54.85,54.85,54.85,54.85,1600,SM,1,1600.0,1600
2026-04-06,55.0,58.0,55.0,58.0,8000,SM,5,1600.0,8000
2026-04-07,60.0,63.25,60.0,62.0,24000,SM,11,2181.82,24000
2026-04-08,64.8,66.9,61.9,65.65,51200,SM,29,1765.52,48000
2026-04-09,65.0,72.2,63.0,69.6,70400,SM,37,1902.7,70400
2026-04-10,69.6,71.8,68.2,69.45,36800,SM,16,2300.0,36800
2026-04-13,67.1,72.0,67.1,71.0,28800,SM,15,1920.0,27200
2026-04-15,73.0,78.1,73.0,78.1,81600,SM,39,2092.31,80000
2026-04-16,79.0,80.3,72.0,79.3,528000,SM,187,2823.53,340800
2026-04-17,79.3,81.0,78.0,80.2,62400,SM,32,1950.0,56000
2026-04-20,81.8,81.8,78.5,80.15,35200,SM,21,1676.19,35200
2026-04-21,82.0,84.75,80.0,83.55,230400,SM,91,2531.87,147200
2026-04-22,83.6,85.0,81.0,81.65,32000,SM,19,1684.21,25600
2026-04-23,83.0,89.75,83.0,87.75,126400,SM,66,1915.15,120000
2026-04-24,90.0,92.1,88.0,89.0,104000,SM,52,2000.0,80000
2026-04-27,90.0,93.45,90.0,93.0,89600,SM,46,1947.83,81600
2026-04-28,93.0,97.65,93.0,97.65,78400,ST,42,1866.67,73600
2026-04-29,100.0,102.0,92.8,92.8,83200,ST,49,1697.96,80000
2026-04-30,88.3,92.1,88.2,88.3,60800,ST,29,2096.55,57600
2026-05-04,88.5,88.5,88.5,88.5,25600,ST,5,5120.0,25600
2026-05-05,90.0,92.9,90.0,92.8,20800,ST,13,1600.0,20800
2026-05-06,97.4,97.4,97.4,97.4,12800,ST,7,1828.57,12800
2026-05-07,102.25,102.25,102.25,102.25,3200,ST,2,1600.0,3200
2026-05-08,107.35,107.35,107.0,107.35,84800,ST,33,2569.7,81600
