Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-14,389.0,409.0,371.55,394.45,146856,EQ,2262.0,64.92,90290.0
2025-11-17,399.8,405.85,391.3,395.65,41237,EQ,2070.0,19.92,19163.0
2025-11-18,397.05,404.35,376.2,384.4,39683,EQ,714.0,55.58,28946.0
2025-11-19,389.05,389.5,375.95,376.9,32580,EQ,672.0,48.48,27720.0
2025-11-20,386.85,387.0,378.85,381.3,34731,EQ,504.0,68.91,28260.0
2025-11-21,374.95,385.95,374.1,378.8,16325,EQ,1268.0,12.87,8084.0
2025-11-24,385.0,386.5,360.0,363.75,11121,EQ,609.0,18.26,6790.0
2025-11-25,368.0,374.0,363.0,372.9,21192,EQ,418.0,50.7,17292.0
2025-11-26,375.95,375.95,366.3,370.35,4471,EQ,389.0,11.49,2350.0
2025-11-27,368.5,375.0,362.05,364.25,7589,EQ,401.0,18.93,3325.0
2025-11-28,368.1,368.1,361.0,362.3,3305,EQ,249.0,13.27,2083.0
2025-12-01,364.15,365.5,355.0,356.55,3749,EQ,316.0,11.86,1712.0
2025-12-02,351.95,358.35,335.35,343.65,52034,EQ,886.0,58.73,46945.0
2025-12-03,323.35,340.9,318.05,324.75,10594,EQ,795.0,13.33,6362.0
2025-12-04,348.8,348.8,327.9,332.0,10214,EQ,671.0,15.22,6074.0
2025-12-05,340.45,347.2,328.0,334.6,8260,EQ,540.0,15.3,2420.0
2025-12-08,334.25,334.25,304.5,315.2,4634,EQ,341.0,13.59,1869.0
2025-12-09,330.0,333.0,308.15,325.8,7066,EQ,408.0,17.32,4707.0
2025-12-10,331.5,342.0,325.0,336.8,4960,EQ,420.0,11.81,665.0
2025-12-11,329.3,337.5,324.5,332.05,3171,EQ,405.0,7.83,937.0
2025-12-12,322.65,348.0,322.65,345.8,10506,EQ,880.0,11.94,6706.0
2025-12-15,350.0,350.0,329.0,333.0,3011,EQ,85.0,35.42,1349.0
2025-12-16,332.05,345.0,330.0,340.0,9103,EQ,655.0,13.9,4905.0
2025-12-17,341.3,341.3,326.95,337.95,40927,EQ,259.0,158.02,33948.0
2025-12-18,334.1,339.65,332.6,337.8,17235,EQ,316.0,54.54,13936.0
2025-12-19,335.0,350.0,328.45,341.55,18311,EQ,825.0,22.2,12901.0
2025-12-22,370.0,370.0,336.0,342.05,265954,EQ,341.0,779.92,238245.0
2025-12-23,352.1,352.1,340.2,343.6,4213,EQ,262.0,16.08,1242.0
