Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-16,35.55,35.55,35.23,35.53,8230,EQ,33.0,249.39,8190.0
2025-10-17,36.41,36.6,35.33,35.47,110718,EQ,147.0,753.18,81198.0
2025-10-20,36.35,36.35,35.51,35.73,36977,EQ,208.0,177.77,32290.0
2025-10-21,37.34,37.34,35.58,35.74,22881,EQ,196.0,116.74,22318.0
2025-10-23,37.0,37.88,35.67,35.73,127064,EQ,387.0,328.33,119321.0
2025-10-24,35.81,36.87,35.53,35.73,69974,EQ,223.0,313.78,63795.0
2025-10-27,36.62,36.62,35.71,35.88,31728,EQ,212.0,149.66,26453.0
2025-10-28,36.6,36.6,35.61,35.76,38170,EQ,201.0,189.9,26502.0
2025-10-29,36.65,37.05,35.91,36.56,175007,EQ,314.0,557.35,149322.0
2025-10-30,36.74,36.95,36.22,36.5,97572,EQ,287.0,339.97,88097.0
2025-10-31,37.3,37.37,36.22,36.42,60091,EQ,307.0,195.74,50531.0
2025-11-03,36.43,36.69,36.15,36.54,70833,EQ,201.0,352.4,55914.0
2025-11-04,37.45,37.45,36.18,36.3,63181,EQ,261.0,242.07,59827.0
2025-11-06,36.49,36.49,35.63,35.81,137000,EQ,367.0,373.3,82558.0
2025-11-07,36.7,36.7,35.49,35.9,60566,EQ,226.0,267.99,52267.0
2025-11-10,36.79,36.79,35.86,36.02,53695,EQ,244.0,220.06,43332.0
2025-11-11,36.09,36.43,35.81,36.18,40987,EQ,206.0,198.97,31965.0
2025-11-12,36.57,36.57,36.21,36.43,29060,EQ,142.0,204.65,27961.0
2025-11-13,36.6,36.66,36.23,36.48,35477,EQ,198.0,179.18,24975.0
2025-11-14,36.66,36.88,36.24,36.38,359814,EQ,310.0,1160.69,354122.0
2025-11-17,36.8,36.8,36.5,36.55,46675,EQ,215.0,217.09,45157.0
2025-11-18,36.74,36.97,36.25,36.36,110622,EQ,265.0,417.44,103966.0
2025-11-19,36.37,36.4,36.03,36.18,425631,EQ,276.0,1542.14,418307.0
2025-11-20,36.42,36.74,36.21,36.32,153557,EQ,296.0,518.77,138310.0
2025-11-21,36.33,36.33,35.92,35.99,159008,EQ,329.0,483.31,158017.0
2025-11-24,36.71,36.71,35.5,35.54,345034,EQ,499.0,691.45,329058.0
2025-11-25,35.71,35.71,35.35,35.49,57361,EQ,266.0,215.64,53561.0
2025-11-26,35.67,36.31,35.67,36.05,327227,EQ,290.0,1128.37,292157.0
2025-11-27,36.23,36.24,35.49,35.85,92486,EQ,404.0,228.93,59622.0
2025-11-28,36.65,36.65,35.65,35.67,196783,EQ,323.0,609.24,195300.0
2025-12-01,36.0,36.04,35.47,35.74,39562,EQ,317.0,124.8,34172.0
2025-12-02,35.74,36.04,35.47,35.59,40510,EQ,312.0,129.84,37476.0
2025-12-03,35.61,35.61,35.06,35.13,77263,EQ,510.0,151.5,73775.0
2025-12-04,35.3,35.32,35.04,35.13,46041,EQ,215.0,214.14,36281.0
2025-12-05,35.13,35.14,34.78,35.07,39031,EQ,339.0,115.14,27967.0
2025-12-08,35.24,35.48,34.35,34.48,42906,EQ,538.0,79.75,39136.0
2025-12-09,34.48,34.95,34.1,34.8,45129,EQ,244.0,184.95,41460.0
2025-12-10,34.9,35.04,34.6,34.71,25205,EQ,198.0,127.3,22628.0
2025-12-11,35.75,35.75,34.57,34.84,17187,EQ,192.0,89.52,11682.0
2025-12-12,35.01,35.87,34.96,35.17,66745,EQ,213.0,313.36,43471.0
2025-12-15,35.35,35.35,34.76,35.14,38368,EQ,251.0,152.86,37462.0
2025-12-16,35.15,35.15,34.7,34.87,102552,EQ,253.0,405.34,89672.0
2025-12-17,35.24,35.24,34.63,34.82,85160,EQ,182.0,467.91,82822.0
2025-12-18,34.99,34.99,33.81,34.57,316973,EQ,297.0,1067.25,307407.0
2025-12-19,34.65,34.99,34.56,34.89,307441,EQ,206.0,1492.43,304390.0
2025-12-22,35.76,35.87,34.81,35.16,963895,EQ,273.0,3530.75,956355.0
2025-12-23,35.2,35.5,35.07,35.31,395795,EQ,203.0,1949.73,390690.0
2025-12-24,34.03,37.0,33.5,35.55,1031301,EQ,351.0,2938.18,1026121.0
2025-12-26,35.97,35.97,35.1,35.19,159634,EQ,659.0,242.24,144828.0
2025-12-29,36.07,36.07,34.78,34.96,75814,EQ,388.0,195.4,66818.0
2025-12-30,35.26,35.26,34.64,34.93,174048,EQ,265.0,656.78,167339.0
2025-12-31,33.5,35.45,33.5,35.4,155884,EQ,222.0,702.18,137677.0
2026-01-01,36.11,36.11,35.33,35.51,53843,EQ,261.0,206.3,48614.0
2026-01-02,35.88,36.4,35.51,36.26,135154,EQ,428.0,315.78,101431.0
2026-01-05,36.42,36.54,35.25,36.13,108302,EQ,525.0,206.29,92000.0
2026-01-06,36.32,36.47,35.73,35.98,313892,EQ,471.0,666.44,294124.0
2026-01-07,35.98,35.98,35.65,35.86,52897,EQ,322.0,164.28,48460.0
2026-01-08,35.87,35.88,34.75,34.86,123283,EQ,742.0,166.15,88125.0
2026-01-09,35.04,35.04,34.38,34.51,87043,EQ,574.0,151.64,70406.0
2026-01-12,34.68,34.88,34.0,34.54,68301,EQ,506.0,134.98,48781.0
2026-01-13,34.53,34.81,34.28,34.46,48443,EQ,356.0,136.08,40245.0
2026-01-14,34.47,35.18,34.36,34.94,62875,EQ,240.0,261.98,46544.0
2026-01-16,35.11,35.37,34.32,34.43,126406,EQ,761.0,166.11,118519.0
2026-01-19,34.43,34.45,33.96,34.14,169084,EQ,710.0,238.15,93003.0
2026-01-20,34.15,34.23,33.36,33.46,84539,EQ,711.0,118.9,76965.0
2026-01-21,33.46,33.79,33.02,33.48,88325,EQ,481.0,183.63,63577.0
2026-01-22,33.84,33.96,33.32,33.79,53979,EQ,347.0,155.56,31535.0
2026-01-23,33.96,33.96,33.1,33.22,90830,EQ,955.0,95.11,84847.0
2026-01-27,33.68,36.16,33.0,33.28,200397,EQ,1376.0,145.64,127996.0
2026-01-28,33.95,35.79,33.61,34.96,578122,EQ,2138.0,270.4,483004.0
2026-01-29,36.01,36.46,34.82,35.54,822213,EQ,3383.0,243.04,688987.0
2026-01-30,36.35,36.35,34.82,35.28,1013626,EQ,4734.0,214.12,930729.0
2026-02-01,36.37,42.4,33.66,33.93,2390281,EQ,10176.0,234.89,1232979.0
2026-02-02,33.3,34.9,33.3,34.65,412978,EQ,2313.0,178.55,250818.0
2026-02-03,35.52,36.29,35.03,35.55,580020,EQ,1967.0,294.88,424165.0
2026-02-04,36.19,36.75,35.6,36.52,3266234,EQ,2291,1425.68,2959256
2026-02-05,36.86,37.0,36.07,36.24,422997,EQ,1448,292.12,340128
2026-02-06,35.0,36.61,35.0,36.49,244935,EQ,1127,217.33,154276
2026-02-09,34.57,37.17,33.36,36.61,377247,EQ,1467,257.16,287938
2026-02-10,36.61,36.96,36.61,36.84,326577,EQ,994,328.55,262354
2026-02-11,37.27,37.28,36.23,36.8,212263,EQ,1047,202.73,154361
2026-02-12,36.98,37.17,36.25,36.53,175549,EQ,911,192.7,115575
