Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-14,115.4,115.4,114.33,114.33,31136,EQ,17.0,1831.53,31133.0
2025-08-18,114.62,114.62,114.02,114.05,302,EQ,13.0,23.23,205.0
2025-08-19,113.75,113.75,113.7,113.7,313,EQ,11.0,28.45,313.0
2025-08-20,116.54,116.54,112.32,113.19,1719,EQ,35.0,49.11,693.0
2025-08-21,113.49,113.49,113.49,113.49,1049,EQ,6.0,174.83,1049.0
2025-08-25,114.45,115.76,113.4,114.08,25908,EQ,90.0,287.87,19447.0
2025-08-26,114.99,115.76,114.9,115.2,499,EQ,18.0,27.72,409.0
2025-08-28,115.21,115.72,115.14,115.71,5598,EQ,19.0,294.63,5393.0
2025-08-29,115.75,116.9,115.75,116.9,832,EQ,19.0,43.79,825.0
2025-09-01,119.24,130.66,119.24,123.29,49167,EQ,416.0,118.19,37408.0
2025-09-02,126.0,126.0,120.0,123.55,375099,EQ,1514.0,247.75,355188.0
2025-09-03,123.4,123.66,122.8,123.59,289478,EQ,203.0,1426.0,282005.0
2025-09-04,124.2,126.3,123.73,126.23,265162,EQ,1182.0,224.33,245493.0
2025-09-05,126.31,126.75,125.65,126.41,7986,EQ,55.0,145.2,7904.0
2025-09-08,128.94,128.94,125.03,126.46,7673,EQ,92.0,83.4,6616.0
2025-09-09,125.83,127.54,125.1,126.73,486989,EQ,342.0,1423.94,480399.0
2025-09-10,127.54,127.54,123.05,124.65,488283,EQ,736.0,663.43,483752.0
2025-09-11,124.66,124.86,124.0,124.79,535838,EQ,506.0,1058.97,529149.0
2025-09-12,127.29,128.05,125.58,127.78,399639,EQ,291.0,1373.33,395869.0
2025-09-15,130.34,130.34,127.55,127.8,395924,EQ,279.0,1419.08,395153.0
2025-09-16,130.36,130.36,127.81,128.94,401713,EQ,262.0,1533.26,400015.0
2025-09-17,128.59,128.7,125.25,127.27,376536,EQ,541.0,696.0,371457.0
2025-09-18,127.97,128.57,126.0,127.41,233048,EQ,236.0,987.49,230480.0
2025-09-19,129.27,129.27,126.55,128.14,204362,EQ,349.0,585.56,197784.0
2025-09-22,130.76,140.0,129.51,134.67,14337,EQ,224.0,64.0,10673.0
2025-09-23,135.99,138.45,130.73,131.26,648190,EQ,2385.0,271.78,519060.0
2025-09-24,133.4,141.0,132.0,135.37,843445,EQ,1163.0,725.23,751915.0
2025-09-25,135.0,137.68,133.51,137.13,822675,EQ,627.0,1312.08,750690.0
2025-09-26,137.81,138.85,136.0,138.45,753902,EQ,624.0,1208.18,733738.0
2025-09-29,139.95,144.74,139.95,143.51,919551,EQ,661.0,1391.15,884504.0
2025-09-30,144.97,146.45,139.91,141.26,775301,EQ,651.0,1190.94,753446.0
2025-10-01,144.42,144.6,143.0,144.59,480439,EQ,678.0,708.61,457224.0
2025-10-03,140.0,149.0,140.0,144.75,904640,EQ,881.0,1026.83,881637.0
2025-10-06,147.24,150.0,146.45,148.69,986257,EQ,758.0,1301.13,974097.0
2025-10-07,149.99,150.07,147.51,148.33,870525,EQ,555.0,1568.51,857950.0
2025-10-08,148.99,154.86,148.0,152.6,1653466,EQ,839.0,1970.76,1598142.0
2025-10-09,154.8,164.55,154.04,160.31,1006843,EQ,2372.0,424.47,873396.0
2025-10-10,162.99,163.0,154.1,159.35,136136,EQ,1679.0,81.08,67793.0
2025-10-13,164.0,188.32,162.46,177.48,487440,EQ,4617.0,105.58,272623.0
2025-10-14,179.2,193.33,175.05,178.22,970297,EQ,7716.0,125.75,508517.0
2025-10-15,180.01,187.99,173.52,176.76,609301,EQ,2868.0,212.45,356982.0
2025-10-16,177.64,180.0,162.0,165.65,891334,EQ,4564.0,195.3,688534.0
2025-10-17,168.94,169.34,164.5,166.08,115347,EQ,1825.0,63.2,59101.0
2025-10-20,163.63,163.64,151.6,153.73,123330,EQ,2822.0,43.7,50290.0
2025-10-21,157.57,157.57,145.92,151.37,25315,EQ,666.0,38.01,15398.0
2025-10-23,152.57,152.57,138.55,144.15,139935,EQ,2345.0,59.67,55052.0
2025-10-24,144.13,146.99,142.0,142.85,39519,EQ,840.0,47.05,21384.0
2025-10-27,142.71,146.0,141.5,144.79,34782,EQ,685.0,50.78,14718.0
2025-10-28,143.42,143.42,135.25,137.75,36584,EQ,895.0,40.88,17024.0
2025-10-29,139.93,145.19,139.78,144.65,39896,EQ,617.0,64.66,21050.0
2025-10-30,143.65,145.93,143.3,145.29,26141,EQ,320.0,81.69,15526.0
2025-10-31,145.92,148.1,145.87,147.49,13509,EQ,233.0,57.98,8156.0
2025-11-03,147.98,149.15,146.72,148.13,1139406,EQ,494.0,2306.49,1122780.0
2025-11-04,147.27,147.27,144.0,145.9,1453973,EQ,623.0,2333.83,1433668.0
2025-11-06,146.62,147.97,145.01,146.17,1635373,EQ,304.0,5379.52,1622096.0
2025-11-07,146.15,148.5,145.49,148.41,2191245,EQ,296.0,7402.85,2174140.0
2025-11-10,150.47,150.55,148.85,150.07,56148,EQ,400.0,140.37,36182.0
2025-11-11,151.22,159.7,151.22,153.25,3061958,EQ,1209.0,2532.64,2938002.0
2025-11-12,154.09,155.86,152.78,155.31,308987,EQ,370.0,835.1,296665.0
2025-11-13,160.21,169.58,159.01,163.54,82052,EQ,912.0,89.97,36570.0
2025-11-14,163.54,163.54,157.34,158.65,279780,EQ,965.0,289.93,258889.0
2025-11-17,153.88,154.79,151.68,154.57,42299,EQ,621.0,68.11,24279.0
2025-11-18,158.43,158.43,149.7,151.65,455070,EQ,528.0,861.88,422690.0
2025-11-19,151.83,156.89,151.83,154.44,34458,EQ,346.0,99.59,15631.0
2025-11-20,153.68,154.8,151.8,153.5,39654,EQ,424.0,93.52,14987.0
2025-11-21,151.79,151.8,149.04,150.16,33922,EQ,430.0,78.89,28887.0
2025-11-24,152.67,152.68,151.08,152.4,7174,EQ,196.0,36.6,4719.0
2025-11-25,153.41,155.64,153.41,154.89,416012,EQ,271.0,1535.1,409147.0
2025-11-26,156.51,157.0,155.4,156.52,10746,EQ,234.0,45.92,5821.0
2025-11-27,158.97,162.13,157.53,161.09,64665,EQ,661.0,97.83,32050.0
2025-11-28,162.16,162.49,160.2,161.53,45663,EQ,519.0,87.98,26906.0
2025-12-01,169.0,174.45,168.5,171.2,348184,EQ,2276.0,152.98,248940.0
2025-12-02,170.0,173.02,161.68,171.98,298751,EQ,969.0,308.31,234147.0
2025-12-03,171.98,177.8,171.98,175.71,123658,EQ,1075.0,115.03,63295.0
2025-12-04,176.47,176.54,171.65,172.71,217457,EQ,765.0,284.26,200772.0
