Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,28.6,28.6,28.6,28.6,53,EQ,4,13.25,53
2026-08-19,28.6,28.99,28.6,28.6,185,EQ,6,30.83,185
2026-08-20,34.3,34.32,23.26,34.32,8795,EQ,135,65.15,4818
2026-08-21,39.99,41.18,39.2,41.18,14902,EQ,114,130.72,12535
2026-08-24,45.2,45.29,38.12,41.59,47605,EQ,471,101.07,22753
2026-08-25,41.3,41.3,37.44,37.44,11252,EQ,150,75.01,7635
2026-08-26,34.9,41.18,34.9,35.62,4590,EQ,67,68.51,3155
2026-08-27,35.62,35.8,34.15,34.15,1724,BE,24,71.83,1724
2026-08-28,34.98,34.99,32.45,32.45,2655,BE,23,115.43,2655
2026-08-31,31.15,31.15,31.0,31.0,2174,BE,22,98.82,2174
2026-09-01,30.4,30.4,29.45,30.15,3262,BE,13,250.92,3262
2026-09-02,29.55,31.65,28.65,31.65,1792,BE,21,85.33,1792
2026-09-03,33.22,33.23,33.07,33.23,2759,BE,19,145.21,2759
2026-09-04,34.89,34.89,33.0,33.98,957,BE,18,53.17,957
