Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-29,10.12,10.12,9.87,9.9,18570,EQ,43,431.86,14559
2026-06-01,9.86,9.95,9.76,9.81,15609,EQ,54,289.06,13608
2026-06-02,9.85,9.85,9.71,9.77,12923,EQ,45,287.18,4866
2026-06-03,9.75,11.6,9.72,9.97,7547,EQ,36,209.64,6881
2026-06-04,9.8,9.84,9.72,9.82,10499,EQ,31,338.68,5509
2026-06-05,9.85,9.85,9.72,9.74,2711,EQ,38,71.34,2698
2026-06-08,9.78,9.78,9.64,9.68,6324,EQ,32,197.62,6129
2026-06-09,9.75,9.75,9.73,9.75,517,EQ,6,86.17,517
2026-06-10,9.75,9.75,9.7,9.71,653,EQ,10,65.3,653
2026-06-11,9.69,9.72,9.6,9.65,416,EQ,15,27.73,405
2026-06-12,9.69,9.84,9.69,9.84,4621,EQ,12,385.08,3092
2026-06-15,10.02,10.02,9.92,9.93,2303,EQ,17,135.47,2190
2026-06-16,9.97,10.04,9.93,10.03,735,EQ,10,73.5,625
2026-06-17,10.08,10.8,9.93,10.19,8139,EQ,33,246.64,4778
2026-06-18,10.2,10.2,10.0,10.12,5824,EQ,20,291.2,5170
2026-06-19,10.12,10.12,9.93,10.07,2105,EQ,14,150.36,1111
2026-06-22,10.02,10.13,10.02,10.13,600,EQ,28,21.43,490
2026-06-23,10.15,10.15,9.96,10.0,583,EQ,16,36.44,378
2026-06-24,10.05,10.1,9.94,9.99,1250,EQ,9,138.89,1009
2026-06-25,10.04,10.15,10.04,10.09,1032,EQ,6,172.0,1030
