Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,111.0,127.52,111.0,114.93,86196,EQ,1685,51.15,39603
2026-08-19,116.0,137.91,116.0,137.91,68040,EQ,1027,66.25,29039
2026-08-20,160.0,165.49,155.3,165.49,383979,EQ,4421,86.85,80997
2026-08-21,174.0,182.03,161.21,166.11,358902,EQ,9250,38.8,100742
2026-08-24,165.0,165.0,150.6,153.53,49408,EQ,1543,32.02,18909
2026-08-25,153.0,153.0,145.86,145.86,7301,BE,97,75.27,7301
2026-08-26,139.01,140.65,138.57,138.57,3321,BE,93,35.71,3321
2026-08-27,131.65,131.65,131.65,131.65,2605,BE,59,44.15,2605
2026-08-28,125.07,125.07,125.07,125.07,4981,BE,72,69.18,4981
2026-08-31,118.82,118.82,118.82,118.82,3840,BE,74,51.89,3840
2026-09-01,112.88,124.76,112.88,124.76,20017,BE,253,79.12,20017
2026-09-02,122.75,123.99,120.0,120.05,15331,BE,206,74.42,15331
2026-09-03,120.0,126.05,118.1,124.89,10283,BE,139,73.98,10283
