Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-22,3400.0,3400.0,3400.0,3400.0,2,EQ,2,1.0,2
2026-04-27,3270.0,3270.0,3240.25,3255.65,20,EQ,5,4.0,20
2026-04-28,3245.9,3245.9,3245.9,3245.9,2,EQ,1,2.0,2
2026-05-06,3339.0,3339.0,3250.0,3294.5,2,EQ,2,1.0,1
2026-05-07,3250.0,3459.2,3250.0,3350.0,7,EQ,3,2.33,7
2026-05-08,3350.0,3350.0,3350.0,3350.0,3,EQ,1,3.0,3
2026-05-11,3190.0,3190.0,3190.0,3190.0,1,EQ,1,1.0,1
2026-05-14,3347.0,3347.0,3344.0,3344.0,4,EQ,3,1.33,4
2026-05-19,3340.0,3340.0,3340.0,3340.0,5,EQ,1,5.0,5
2026-05-21,3320.0,3320.0,3200.0,3200.0,21,EQ,5,4.2,21
2026-05-25,3200.0,3200.0,3200.0,3200.0,1,EQ,1,1.0,1
2026-05-26,3250.0,3250.0,3225.0,3227.3,26,EQ,7,3.71,26
2026-05-27,3255.0,3255.0,3250.0,3250.0,5,EQ,5,1.0,5
2026-05-29,3250.0,3290.0,3250.0,3290.0,23,EQ,5,4.6,23
2026-06-02,3180.5,3300.0,3180.0,3300.0,10,EQ,5,2.0,8
2026-06-08,3135.5,3135.5,3135.5,3135.5,2,EQ,2,1.0,2
2026-06-09,3150.0,3150.0,3060.0,3130.0,165,EQ,21,7.86,165
2026-06-10,3061.0,3080.0,3051.2,3080.0,13,EQ,7,1.86,13
2026-06-11,3026.0,3075.0,3026.0,3075.0,33,EQ,8,4.12,33
2026-06-12,3200.0,3200.0,3199.9,3199.9,6,EQ,4,1.5,6
2026-06-15,3224.0,3299.0,3040.0,3061.0,388,EQ,58,6.69,307
2026-06-16,3066.0,3066.0,3066.0,3066.0,10,EQ,1,10.0,10
2026-06-17,3101.0,3101.0,3101.0,3101.0,1,EQ,1,1.0,1
2026-06-18,3101.0,3248.8,3101.0,3248.8,19,EQ,4,4.75,19
2026-06-19,3410.0,3410.0,3125.0,3152.9,76,EQ,16,4.75,72
