Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-09,69.4,69.51,68.3,68.53,10876,EQ,139.0,78.24,9175.0
2026-01-12,68.63,68.71,67.62,68.68,3126,EQ,74.0,42.24,1805.0
2026-01-13,68.65,68.69,68.3,68.61,2287,EQ,23.0,99.43,1165.0
2026-01-14,68.64,69.04,68.42,68.67,1325,EQ,47.0,28.19,975.0
2026-01-16,69.01,69.2,68.67,68.96,1891,EQ,35.0,54.03,1360.0
2026-01-19,69.16,69.16,68.5,68.74,4387,EQ,35.0,125.34,3642.0
2026-01-20,68.45,68.45,67.04,67.34,2198,EQ,58.0,37.9,1485.0
2026-01-21,67.1,67.24,66.1,66.99,3426,EQ,46.0,74.48,1851.0
2026-01-22,67.56,67.56,67.3,67.4,243,EQ,14.0,17.36,142.0
2026-01-23,67.43,67.71,66.18,66.35,1614,EQ,42.0,38.43,1330.0
2026-01-27,66.35,66.75,66.07,66.45,9364,EQ,35.0,267.54,4935.0
2026-01-28,67.02,68.32,66.95,68.24,6656,EQ,31.0,214.71,3562.0
2026-01-29,68.24,68.43,67.71,68.19,2995,EQ,32.0,93.59,1905.0
2026-01-30,67.97,68.12,67.0,67.12,758,EQ,17.0,44.59,593.0
2026-02-01,68.34,81.0,65.7,75.19,5887,EQ,73.0,80.64,3198.0
2026-02-02,70.7,70.7,65.53,67.2,14860,EQ,208.0,71.44,5646.0
2026-02-03,68.81,69.18,68.62,68.9,10220,EQ,31.0,329.68,8827.0
2026-02-04,68.8,69.34,68.74,69.34,5380,EQ,64,84.06,3678
2026-02-05,68.52,69.03,68.48,68.88,1044,EQ,21,49.71,923
2026-02-06,68.37,69.21,68.19,68.88,198,EQ,12,16.5,138
2026-02-09,69.21,69.81,69.21,69.63,3421,EQ,31,110.35,2739
2026-02-10,69.8,70.03,69.58,69.75,14476,EQ,26,556.77,14276
2026-02-11,69.84,70.3,69.7,70.18,2902,EQ,42,69.1,1692
2026-02-12,70.0,70.11,69.74,70.01,2171,EQ,32,67.84,1592
2026-02-13,68.97,73.0,68.66,69.07,16705,EQ,39,428.33,16522
2026-02-16,69.08,69.7,68.89,69.58,34509,EQ,35,985.97,21007
2026-02-17,69.57,72.01,69.43,71.9,58253,EQ,37,1574.41,33354
2026-02-18,70.09,72.5,69.69,70.53,6356,EQ,118,53.86,4639
2026-02-19,70.11,70.22,69.0,69.19,3556,EQ,55,64.65,3446
2026-02-20,69.13,69.66,69.08,69.27,432,EQ,25,17.28,215
2026-02-23,69.72,70.0,69.51,69.87,46937,EQ,52,902.63,46266
2026-02-24,69.53,69.95,69.25,69.87,2212,EQ,25,88.48,960
2026-02-25,69.87,70.59,69.87,70.11,708,EQ,17,41.65,556
2026-02-26,70.11,70.28,70.11,70.24,603,EQ,10,60.3,546
2026-02-27,70.24,70.35,69.63,69.76,3371,EQ,26,129.65,3057
2026-03-02,69.2,69.5,68.0,68.92,13619,EQ,98,138.97,10864
2026-03-04,67.68,67.75,66.7,66.91,49106,EQ,181,271.3,46915
2026-03-05,67.46,71.99,67.26,71.99,1621,EQ,22,73.68,1106
2026-03-06,69.97,69.97,67.43,67.64,29256,EQ,312,93.77,24291
2026-03-09,67.6,67.6,65.0,66.14,37862,EQ,137,276.36,28397
2026-03-10,66.93,67.36,66.63,67.35,2281,EQ,23,99.17,951
2026-03-11,67.32,67.87,66.38,66.41,3376,EQ,49,68.9,2470
2026-03-12,65.55,66.81,65.41,66.57,2297,EQ,45,51.04,1129
2026-03-13,66.72,66.72,64.85,64.94,6343,EQ,109,58.19,5672
2026-03-16,64.57,65.6,63.78,64.75,16172,EQ,124,130.42,6418
2026-03-17,64.65,68.4,64.36,65.2,4533,EQ,36,125.92,3201
2026-03-18,65.53,69.6,65.41,65.95,980,EQ,23,42.61,563
2026-03-19,64.35,69.6,63.5,65.61,9786,EQ,147,66.57,4963
2026-03-20,65.57,65.57,63.69,63.96,4299,EQ,74,58.09,2263
