Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-25,54.5,54.5,51.8,51.8,160000,ST,39,4102.56,160000
2026-05-26,49.25,49.25,49.25,49.25,6000,ST,3,2000.0,6000
2026-05-27,46.8,46.8,46.8,46.8,44000,ST,3,14666.67,44000
2026-05-29,44.5,44.5,44.5,44.5,6000,ST,3,2000.0,6000
2026-06-02,42.3,42.3,42.3,42.3,2000,ST,1,2000.0,2000
2026-06-03,40.2,40.2,40.2,40.2,2000,ST,1,2000.0,2000
2026-06-04,38.2,38.2,38.2,38.2,8000,ST,4,2000.0,8000
2026-06-05,36.3,36.3,36.3,36.3,48000,ST,24,2000.0,48000
2026-06-08,34.5,34.5,34.5,34.5,16000,ST,8,2000.0,16000
2026-06-09,27.6,28.05,27.6,27.6,364000,SM,109,3339.45,334000
2026-06-10,22.15,26.45,22.1,22.8,1122000,SM,481,2332.64,626000
2026-06-11,22.9,25.05,22.9,25.0,346000,SM,157,2203.82,188000
2026-06-12,25.5,27.5,25.25,27.5,182000,SM,89,2044.94,118000
