Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,17000.35,213992948.0,48.36,,,,
2026-06-16,nan,nan,nan,17080.08,400632152.0,48.59,,,,
2026-06-17,nan,nan,nan,17487.49,291089247.0,49.75,,,,
2026-06-18,nan,nan,nan,17576.38,189326051.0,50.0,,,,
2026-06-22,nan,nan,nan,17838.74,178554824.0,50.75,,,,
2026-06-29,nan,nan,nan,17308.18,276697314.0,49.24,,,,
2026-07-06,nan,nan,nan,17167.18,167636454.0,48.85,,,,
2026-07-20,nan,nan,nan,16807.78,113720564.0,47.13,,,,
2026-08-06,nan,nan,nan,17207.9,121079452.0,47.25,,,,
2026-08-27,nan,nan,nan,17571.18,122494059.0,46.61,,,,
2026-08-28,nan,nan,nan,17548.74,84638663.0,46.55,,,,
2026-08-31,nan,nan,nan,17587.13,164023177.0,46.66,,,,
2026-09-01,nan,nan,nan,17358.7,114482952.0,46.05,,,,
2026-09-02,nan,nan,nan,17127.85,135995646.0,45.44,,,,
2026-09-03,nan,nan,nan,17326.45,132052791.0,45.96,,,,
