Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,4443.48,6162095.0,68.18,,,,
2026-06-16,nan,nan,nan,4424.86,7107078.0,67.9,,,,
2026-06-17,nan,nan,nan,4414.84,8717976.0,67.74,,,,
2026-06-18,nan,nan,nan,4488.07,11417229.0,68.87,,,,
2026-06-22,nan,nan,nan,4542.94,7232842.0,69.71,,,,
2026-06-29,nan,nan,nan,4566.14,16037377.0,70.06,,,,
2026-07-06,nan,nan,nan,4664.4,4809173.0,71.78,,,,
2026-07-20,nan,nan,nan,4620.53,4315092.0,71.11,,,,
2026-08-06,nan,nan,nan,4623.79,8663943.0,71.49,,,,
2026-08-27,nan,nan,nan,4482.27,8535905.0,68.41,,,,
2026-08-28,nan,nan,nan,4495.41,9123260.0,68.61,,,,
2026-08-31,nan,nan,nan,4502.89,10840086.0,70.49,,,,
2026-09-01,nan,nan,nan,4461.21,9185388.0,69.84,,,,
