Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,766.75,22588340.0,111.94,,,,
2026-06-16,nan,nan,nan,765.9,16692116.0,111.82,,,,
2026-06-17,nan,nan,nan,763.14,14534623.0,111.41,,,,
2026-06-18,nan,nan,nan,763.03,13058145.0,111.4,,,,
2026-06-22,nan,nan,nan,770.22,25349902.0,112.45,,,,
2026-06-29,nan,nan,nan,764.97,31243819.0,111.68,,,,
2026-07-06,nan,nan,nan,794.54,20011362.0,36.24,,,,
2026-07-20,nan,nan,nan,789.84,14045236.0,36.03,,,,
2026-08-06,nan,nan,nan,761.74,20736003.0,32.36,,,,
2026-08-27,nan,nan,nan,749.36,19599527.0,32.46,,,,
2026-08-28,nan,nan,nan,748.09,11642541.0,32.4,,,,
2026-08-31,nan,nan,nan,738.99,14912892.0,32.01,,,,
2026-09-01,nan,nan,nan,740.15,14841921.0,32.06,,,,
