Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-27,nan,nan,nan,9179.45,22466258.0,80.53,,,,
2026-08-28,nan,nan,nan,9137.48,18424340.0,80.16,,,,
2026-08-31,nan,nan,nan,9090.74,25528458.0,79.75,,,,
2026-09-01,nan,nan,nan,9019.64,18990869.0,79.13,,,,
2026-09-02,nan,nan,nan,9029.87,24980063.0,79.22,,,,
2026-09-03,nan,nan,nan,9098.77,23527221.0,79.82,,,,
2026-09-04,nan,nan,nan,9135.52,24021185.0,80.14,,,,
2026-09-07,nan,nan,nan,9208.35,28967574.0,80.78,,,,
2026-09-08,nan,nan,nan,9447.7,94935305.0,82.88,,,,
2026-09-09,nan,nan,nan,9343.66,38398087.0,81.97,,,,
2026-09-10,nan,nan,nan,9226.13,27883219.0,80.94,,,,
