Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,1911.03,15843911.0,34.78,,,,
2026-06-16,nan,nan,nan,1908.59,30048166.0,34.73,,,,
2026-06-17,nan,nan,nan,1930.88,24402572.0,35.14,,,,
2026-06-18,nan,nan,nan,1978.69,125836010.0,36.01,,,,
2026-06-22,nan,nan,nan,1998.84,97771009.0,36.38,,,,
2026-06-29,nan,nan,nan,1935.44,30652360.0,35.17,,,,
2026-07-06,nan,nan,nan,1926.24,11585219.0,34.16,,,,
2026-07-20,nan,nan,nan,1900.75,8802281.0,34.27,,,,
2026-08-06,nan,nan,nan,1882.25,70627287.0,34.19,,,,
2026-08-27,nan,nan,nan,1870.48,17615435.0,34.24,,,,
2026-08-28,nan,nan,nan,1862.85,26932753.0,34.1,,,,
2026-08-31,nan,nan,nan,1857.31,52604705.0,25.83,,,,
2026-09-01,nan,nan,nan,1838.46,15715925.0,25.57,,,,
2026-09-02,nan,nan,nan,1820.64,33935067.0,25.32,,,,
