Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-04,nan,nan,nan,1747.03,30565695.0,55.07,,,,
2026-03-05,nan,nan,nan,1765.42,23342367.0,55.65,,,,
2026-03-06,nan,nan,nan,1758.57,17334845.0,55.43,,,,
2026-03-09,nan,nan,nan,1740.72,18149280.0,54.87,,,,
2026-03-10,nan,nan,nan,1750.59,16778382.0,55.18,,,,
2026-03-11,nan,nan,nan,1739.44,13487510.0,54.83,,,,
2026-03-12,nan,nan,nan,1724.75,13548469.0,54.37,,,,
2026-03-13,nan,nan,nan,1714.1,16582458.0,54.03,,,,
2026-03-16,nan,nan,nan,1699.08,21461593.0,53.56,,,,
2026-03-17,nan,nan,nan,1712.55,16555660.0,53.98,,,,
2026-03-18,nan,nan,nan,1731.25,22748157.0,54.57,,,,
2026-03-19,nan,nan,nan,1696.92,14750286.0,53.49,,,,
2026-03-20,nan,nan,nan,1690.47,48070544.0,53.28,,,,
2026-03-23,nan,nan,nan,1637.81,19983843.0,51.63,,,,
2026-03-24,nan,nan,nan,1668.09,29224901.0,52.58,,,,
2026-03-25,nan,nan,nan,1695.28,35353124.0,47.59,,,,
2026-03-27,nan,nan,nan,1666.49,51641208.0,46.78,,,,
2026-03-30,nan,nan,nan,1632.57,27833239.0,44.75,,,,
2026-04-01,nan,nan,nan,1645.95,24639523.0,45.11,,,,
2026-04-02,nan,nan,nan,1658.9,26363899.0,45.47,,,,
2026-04-06,nan,nan,nan,1678.39,23277439.0,46.0,,,,
2026-04-07,nan,nan,nan,1695.06,18708660.0,46.46,,,,
2026-04-08,nan,nan,nan,1761.85,33127633.0,48.29,,,,
2026-04-09,nan,nan,nan,1767.3,15558592.0,48.44,,,,
2026-04-10,nan,nan,nan,1785.17,24926251.0,48.93,,,,
2026-04-13,nan,nan,nan,1778.09,17192161.0,48.73,,,,
2026-04-15,nan,nan,nan,1796.3,21451180.0,49.23,,,,
2026-04-16,nan,nan,nan,1797.09,16194278.0,49.25,,,,
2026-04-17,nan,nan,nan,1802.94,12417010.0,49.41,,,,
2026-04-20,nan,nan,nan,1789.88,14202892.0,49.06,,,,
2026-04-21,nan,nan,nan,1811.55,16352191.0,49.65,,,,
2026-04-22,nan,nan,nan,1809.65,12376673.0,49.6,,,,
2026-04-23,nan,nan,nan,1787.69,16306228.0,49.0,,,,
2026-04-24,nan,nan,nan,1778.19,20287310.0,48.74,,,,
2026-04-27,nan,nan,nan,1799.99,28202348.0,49.33,,,,
2026-04-28,nan,nan,nan,1795.55,19790357.0,48.7,,,,
2026-04-29,nan,nan,nan,1804.35,15537342.0,48.94,,,,
2026-04-30,nan,nan,nan,1793.86,13547216.0,49.36,,,,
2026-05-04,nan,nan,nan,1815.48,17506000.0,49.95,,,,
2026-05-05,nan,nan,nan,1797.03,17468750.0,49.44,,,,
2026-05-06,nan,nan,nan,1817.02,17287147.0,49.17,,,,
2026-05-07,nan,nan,nan,1822.88,28310379.0,49.33,,,,
2026-05-08,nan,nan,nan,1827.87,23635199.0,49.64,,,,
2026-05-11,1824.6,1826.1,1801.0,1806.85,18398942.0,48.61,,,,
2026-05-12,1805.45,1808.25,1769.6,1771.0,21187434.0,47.58,,,,
2026-05-13,1771.6,1784.25,1763.05,1777.45,18443940.0,47.76,,,,
2026-05-14,1777.25,1784.7,1756.9,1781.1,18063401.0,47.57,,,,
2026-05-15,1777.6,1780.25,1751.95,1754.15,12833820.0,47.18,,,,
2026-05-18,1746.1,1757.85,1729.0,1754.7,15862149.0,47.19,,,,
2026-05-19,1755.75,1774.0,1753.35,1771.85,15459123.0,46.9,,,,
2026-05-20,1761.95,1778.4,1755.25,1775.4,16178136.0,47.0,,,,
2026-05-21,1781.5,1788.45,1774.1,1780.8,15706814.0,47.14,,,,
2026-05-22,1785.3,1789.1,1774.15,1779.65,13219812.0,47.11,,,,
2026-05-25,1793.0,1797.1,1787.65,1791.25,10993056.0,48.29,,,,
2026-05-26,1793.0,1794.25,1782.85,1789.05,11591352.0,47.74,,,,
