Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-28,nan,nan,nan,17456.75,1202558038.0,26.68,,,,
2026-01-29,nan,nan,nan,17507.74,1198317018.0,26.64,,,,
2026-01-30,nan,nan,nan,17708.39,1337067926.0,26.88,,,,
2026-02-01,nan,nan,nan,17363.56,1033290376.0,26.16,,,,
2026-02-02,nan,nan,nan,17439.49,900372641.0,26.26,,,,
2026-02-03,nan,nan,nan,17985.11,1248099050.0,27.08,,,,
2026-02-04,nan,nan,nan,18144.95,1329765348.0,26.61,,,,
2026-02-05,nan,nan,nan,17960.1,1026786853.0,26.28,,,,
2026-02-06,nan,nan,nan,17877.19,761315792.0,26.12,,,,
2026-02-09,nan,nan,nan,18329.65,1291837271.0,26.75,,,,
2026-02-10,nan,nan,nan,18449.66,1102197441.0,27.0,,,,
2026-02-11,nan,nan,nan,18442.4,950187350.0,26.94,,,,
2026-02-12,nan,nan,nan,18319.66,841914684.0,26.7,,,,
2026-02-13,nan,nan,nan,18033.27,1018249491.0,26.28,,,,
2026-02-16,nan,nan,nan,17989.87,1136878324.0,26.21,,,,
2026-02-17,nan,nan,nan,18135.54,1576449177.0,26.44,,,,
2026-02-18,nan,nan,nan,18213.87,1616232650.0,26.58,,,,
2026-02-19,nan,nan,nan,17987.56,919095104.0,26.25,,,,
2026-02-20,nan,nan,nan,17956.35,842991053.0,26.21,,,,
2026-02-23,nan,nan,nan,18020.95,873284047.0,26.3,,,,
2026-02-24,nan,nan,nan,17881.15,826235245.0,26.09,,,,
2026-02-25,nan,nan,nan,17975.44,857751361.0,26.23,,,,
2026-02-26,nan,nan,nan,17999.79,959921569.0,26.27,,,,
2026-02-27,nan,nan,nan,17807.81,1225948645.0,26.01,,,,
2026-03-02,nan,nan,nan,17464.86,1145393395.0,25.51,,,,
2026-03-04,nan,nan,nan,17071.86,1403148650.0,24.91,,,,
2026-03-05,nan,nan,nan,17294.65,985661658.0,25.24,,,,
2026-03-06,nan,nan,nan,17252.55,934609501.0,25.17,,,,
2026-03-09,nan,nan,nan,16836.48,973853438.0,24.57,,,,
2026-03-10,nan,nan,nan,17208.22,1109469812.0,25.11,,,,
2026-03-11,nan,nan,nan,17152.56,1124626287.0,25.04,,,,
2026-03-12,nan,nan,nan,17088.95,1162713298.0,24.95,,,,
2026-03-13,nan,nan,nan,16622.52,1222133813.0,24.27,,,,
2026-03-16,nan,nan,nan,16558.18,1280579609.0,24.17,,,,
2026-03-17,nan,nan,nan,16669.55,1034783678.0,24.34,,,,
2026-03-18,nan,nan,nan,17006.05,1591847365.0,24.64,,,,
2026-03-19,nan,nan,nan,16554.57,1516629466.0,23.99,,,,
2026-03-20,nan,nan,nan,16625.33,1655414950.0,24.09,,,,
2026-03-23,nan,nan,nan,15960.2,1253934528.0,23.13,,,,
2026-03-24,nan,nan,nan,16354.3,1223035711.0,23.7,,,,
2026-03-25,nan,nan,nan,16750.33,1522349903.0,24.27,,,,
2026-03-27,nan,nan,nan,16397.14,1601541442.0,23.75,,,,
2026-03-30,nan,nan,nan,15971.9,1594018226.0,24.87,,,,
2026-04-01,nan,nan,nan,16541.74,1454421331.0,25.76,,,,
2026-04-02,nan,nan,nan,16552.07,1514912927.0,25.77,,,,
2026-04-06,nan,nan,nan,16728.02,1603018118.0,26.05,,,,
2026-04-07,nan,nan,nan,16756.34,1232387820.0,26.09,,,,
2026-04-08,nan,nan,nan,17420.3,1860468689.0,27.12,,,,
2026-04-09,nan,nan,nan,17434.37,2260208503.0,27.15,,,,
2026-04-10,nan,nan,nan,17741.02,2315034698.0,27.62,,,,
