Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-15,nan,nan,nan,3696.97,605523404.0,15.49,,,,
2026-06-16,nan,nan,nan,3701.61,550212049.0,15.51,,,,
2026-06-17,nan,nan,nan,3728.53,577046046.0,15.62,,,,
2026-06-18,nan,nan,nan,3775.84,398000287.0,15.82,,,,
2026-06-22,nan,nan,nan,3829.87,321250069.0,16.04,,,,
2026-06-29,nan,nan,nan,3721.88,1106612783.0,15.59,,,,
2026-07-06,nan,nan,nan,3717.62,334799151.0,15.96,,,,
2026-07-20,nan,nan,nan,3665.31,357440583.0,15.73,,,,
2026-08-06,nan,nan,nan,3610.7,242569703.0,15.12,,,,
2026-08-27,nan,nan,nan,3792.73,473757004.0,15.02,,,,
2026-08-28,nan,nan,nan,3812.98,497627214.0,15.1,,,,
2026-08-31,nan,nan,nan,3786.37,470779165.0,14.99,,,,
2026-09-01,nan,nan,nan,3733.73,353781097.0,14.79,,,,
2026-09-02,nan,nan,nan,3745.27,557655135.0,14.83,,,,
2026-09-03,nan,nan,nan,3723.73,285243418.0,14.75,,,,
2026-09-04,nan,nan,nan,3791.19,564427881.0,15.01,,,,
