Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-20,nan,nan,nan,3723.44,1222369164.0,23.62,,,,
2026-08-06,nan,nan,nan,3793.88,1273228540.0,24.26,,,,
2026-08-27,nan,nan,nan,3764.72,1473102480.0,23.71,,,,
2026-08-28,nan,nan,nan,3781.72,1503684599.0,23.82,,,,
2026-08-31,nan,nan,nan,3755.39,2169507636.0,23.52,,,,
2026-09-01,nan,nan,nan,3743.19,1404169788.0,23.44,,,,
2026-09-02,nan,nan,nan,3719.04,1493597402.0,23.29,,,,
2026-09-03,nan,nan,nan,3727.55,1163559223.0,23.35,,,,
2026-09-04,nan,nan,nan,3724.4,1545366679.0,23.33,,,,
2026-09-07,nan,nan,nan,3702.14,1536536325.0,23.19,,,,
2026-09-08,nan,nan,nan,3700.65,1133399407.0,23.18,,,,
2026-09-09,nan,nan,nan,3685.33,1621049970.0,23.08,,,,
2026-09-10,nan,nan,nan,3679.88,1976457388.0,23.05,,,,
