Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-20,12.35,12.96,12.35,12.5,306540,EQ,469,653.6,252726
2026-08-21,12.95,12.95,12.41,12.46,137621,EQ,602,228.61,124153
2026-08-24,12.52,12.52,12.39,12.4,153013,EQ,663,230.79,139752
2026-08-25,12.65,12.65,12.35,12.42,131697,EQ,551,239.01,100074
2026-08-26,12.73,12.73,9.94,12.46,176050,EQ,701,251.14,160322
2026-08-27,12.77,12.77,12.38,12.38,100108,EQ,1027,97.48,84128
2026-08-28,12.68,12.68,12.36,12.39,164738,EQ,503,327.51,90286
2026-08-31,12.67,12.67,12.05,12.23,146129,EQ,993,147.16,97458
2026-09-01,12.36,12.54,12.26,12.32,119459,EQ,700,170.66,87978
2026-09-02,12.62,12.62,12.18,12.29,165102,EQ,838,197.02,135656
2026-09-03,12.59,12.59,12.22,12.29,335371,EQ,620,540.92,268645
2026-09-04,12.29,12.57,12.23,12.29,56629,EQ,626,90.46,41859
