Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,540.0,549.95,516.03,539.79,5900,EQ,313,18.85,5463
2026-04-21,542.49,549.4,540.0,544.74,3492,EQ,277,12.61,2730
2026-04-22,546.92,549.97,541.52,545.03,11690,EQ,240,48.71,11044
2026-04-23,545.0,547.0,544.08,545.38,3987,EQ,206,19.35,3674
2026-04-24,545.38,552.0,543.0,550.02,12483,EQ,378,33.02,11990
2026-04-27,550.02,569.9,546.31,554.46,6815,EQ,603,11.3,4036
2026-04-28,556.68,567.97,556.68,560.83,32269,EQ,628,51.38,30712
2026-04-29,565.0,565.0,557.81,560.0,26181,EQ,228,114.83,25459
2026-04-30,560.02,571.76,558.07,570.59,8389,EQ,713,11.77,7284
2026-05-04,570.6,575.0,569.75,571.6,13782,EQ,447,30.83,12147
2026-05-05,574.5,583.9,574.45,579.35,7593,EQ,399,19.03,5849
2026-05-06,584.0,584.0,575.3,579.95,17810,EQ,489,36.42,16379
2026-05-07,583.35,584.0,579.2,581.7,8647,EQ,373,23.18,6983
2026-05-08,584.0,589.0,584.0,585.4,5250,EQ,293,17.92,4370
