Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,857.7,868.0,837.05,863.2,993,EQ,82,12.11,821
2026-04-21,847.05,890.05,847.05,866.7,2907,EQ,186,15.63,2391
2026-04-22,865.05,883.5,852.65,879.6,1068,EQ,127,8.41,906
2026-04-23,884.0,925.6,882.0,922.65,8338,EQ,725,11.5,6553
2026-04-24,922.65,935.05,901.0,925.45,3765,EQ,384,9.8,2540
2026-04-27,927.0,943.45,927.0,938.8,4908,EQ,344,14.27,3868
2026-04-28,923.0,986.0,923.0,971.75,10857,EQ,836,12.99,8573
2026-04-29,999.0,999.0,955.0,965.3,2945,EQ,480,6.14,1954
2026-04-30,985.0,985.0,938.0,981.5,8343,EQ,421,19.82,7218
2026-05-04,1140.0,1174.0,1101.0,1128.3,57843,EQ,4131,14.0,28727
2026-05-05,1148.0,1150.0,1101.05,1125.15,19498,EQ,1360,14.34,11909
2026-05-06,1140.0,1221.6,1120.5,1205.4,42942,EQ,3609,11.9,23336
2026-05-07,1220.0,1230.95,1212.0,1216.5,18963,EQ,810,23.41,14239
2026-05-08,1223.9,1297.0,1215.0,1271.55,26182,EQ,2634,9.94,15188
2026-05-11,1295.8,1350.0,1271.0,1287.15,27720,EQ,2312,11.99,16573
2026-05-12,1298.0,1306.0,1280.0,1282.6,11577,EQ,775,14.94,8130
2026-05-13,1318.0,1318.0,1280.0,1281.45,6315,EQ,615,10.27,3214
2026-05-14,1300.0,1320.55,1280.0,1286.0,4622,EQ,421,10.98,3171
2026-05-15,1299.0,1339.65,1282.35,1328.7,10001,EQ,997,10.03,6215
2026-05-18,1328.7,1342.45,1310.0,1312.9,6847,EQ,601,11.39,4491
2026-05-19,1329.8,1354.0,1310.0,1315.8,4346,EQ,505,8.61,2514
2026-05-20,1313.75,1342.95,1310.0,1319.15,6117,EQ,528,11.59,3746
2026-05-21,1325.9,1351.0,1325.05,1348.85,7700,EQ,791,9.73,3965
2026-05-22,1341.05,1449.0,1321.0,1420.85,33118,EQ,2660,12.45,15576
2026-05-25,1426.15,1600.0,1421.8,1582.85,45642,EQ,4488,10.17,21381
2026-05-26,1598.0,1690.0,1551.2,1636.55,45554,EQ,3444,13.23,22320
2026-05-27,1659.75,1686.0,1605.0,1653.45,17068,EQ,1630,10.47,10275
2026-05-29,1658.95,1658.95,1590.0,1626.6,12172,EQ,1574,7.73,7022
2026-06-01,1630.0,1674.0,1610.4,1648.8,10600,EQ,1255,8.45,7141
2026-06-02,1657.3,1673.2,1617.1,1642.0,7085,EQ,755,9.38,4444
2026-06-03,1642.0,1870.0,1621.0,1806.2,84590,EQ,8466,9.99,23929
2026-06-04,1854.0,1870.0,1766.1,1820.4,22267,EQ,2263,9.84,10427
2026-06-05,1844.9,1844.9,1703.4,1745.4,13200,EQ,1473,8.96,7127
2026-06-08,1685.4,1685.4,1416.1,1443.9,77370,EQ,6603,11.72,31550
2026-06-09,1420.2,1525.0,1405.0,1471.0,42745,EQ,4304,9.93,15391
2026-06-10,1498.8,1523.0,1432.6,1456.0,8888,EQ,1163,7.64,4753
2026-06-11,1454.6,1484.5,1299.9,1323.8,20261,EQ,2227,9.1,11357
2026-06-12,1370.1,1427.9,1365.0,1414.2,22614,EQ,2503,9.03,10340
