Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,991.0,1005.85,991.0,995.45,4123,EQ,284,14.52,3028
2026-04-21,999.8,1019.95,971.2,988.9,10699,EQ,842,12.71,6707
2026-04-22,999.95,999.95,976.1,989.85,8133,EQ,329,24.72,5346
2026-04-23,980.65,997.35,975.55,985.45,3005,EQ,251,11.97,2106
2026-04-24,986.05,1004.0,950.0,962.0,11164,EQ,552,20.22,8086
2026-04-27,962.0,984.95,950.5,977.7,12624,EQ,606,20.83,10750
2026-04-28,987.5,1059.9,982.25,1050.85,44741,EQ,2656,16.85,34310
2026-04-29,1052.0,1056.5,1025.2,1033.05,6959,EQ,878,7.93,4792
2026-04-30,1048.55,1051.95,1009.6,1030.5,5995,EQ,310,19.34,5055
2026-05-04,1030.0,1043.2,1013.0,1026.3,18357,EQ,661,27.77,16402
2026-05-05,1029.8,1049.0,1018.0,1036.6,9226,EQ,487,18.94,7416
2026-05-06,1051.4,1054.2,1036.6,1050.7,8994,EQ,880,10.22,5965
2026-05-07,1059.8,1075.0,1046.3,1066.3,9872,EQ,959,10.29,7812
2026-05-08,1066.3,1125.0,1060.2,1112.5,26837,EQ,2795,9.6,18105
2026-05-11,1120.0,1240.0,1095.0,1182.5,138443,EQ,8782,15.76,73452
2026-05-12,1202.0,1275.0,1150.0,1263.0,258169,EQ,11113,23.23,116286
2026-05-13,1250.0,1263.7,1188.1,1241.7,66223,EQ,3449,19.2,42252
2026-05-14,1231.0,1260.0,1182.1,1194.3,26328,EQ,3703,7.11,13236
2026-05-15,1211.0,1230.9,1200.0,1209.4,10377,EQ,1578,6.58,6202
2026-05-18,1190.0,1224.0,1165.1,1181.3,17622,EQ,1728,10.2,9827
2026-05-19,1187.2,1220.2,1166.3,1209.8,17228,EQ,1342,12.84,11255
2026-05-20,1218.0,1348.0,1209.0,1323.0,82537,EQ,5978,13.81,44439
2026-05-21,1335.0,1356.9,1287.0,1346.6,44109,EQ,3923,11.24,22054
2026-05-22,1346.6,1407.0,1327.0,1365.3,56056,EQ,4496,12.47,30280
2026-05-25,1335.0,1425.0,1322.0,1360.2,30346,EQ,3085,9.84,19186
2026-05-26,1357.6,1455.0,1342.9,1415.7,61211,EQ,5031,12.17,30435
