Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-17,186.0,195.3,186.0,193.38,2366480,BE,22013,107.5,2366480
2026-04-20,198.0,203.04,195.2,203.04,1177265,BE,7888,149.25,1177265
2026-04-21,206.0,206.0,192.89,199.69,510701,BE,4610,110.78,510701
2026-04-22,198.0,202.0,195.0,199.87,201424,BE,2191,91.93,201424
2026-04-23,199.1,205.9,195.0,202.81,328949,BE,3033,108.46,328949
2026-04-24,204.99,204.99,197.0,198.77,322448,BE,1556,207.23,322448
2026-04-27,199.0,201.98,195.1,196.49,266818,BE,1992,133.94,266818
2026-04-28,196.0,199.5,193.0,199.05,133270,BE,1249,106.7,133270
2026-04-29,199.48,201.0,196.05,197.7,112409,BE,1007,111.63,112409
2026-04-30,198.76,199.95,191.0,194.27,192282,BE,1406,136.76,192282
2026-05-04,198.5,201.8,190.13,194.2,579224,EQ,13325,43.47,371587
2026-05-05,194.0,195.32,190.55,192.66,198486,EQ,6997,28.37,109323
2026-05-06,195.0,195.0,188.15,190.68,279254,EQ,10486,26.63,133817
2026-05-07,188.68,192.19,186.9,189.05,309905,EQ,10091,30.71,149296
2026-05-08,188.5,189.93,177.25,178.58,579165,EQ,11836,48.93,305118
2026-05-11,179.49,187.98,176.52,183.87,382389,EQ,5048,75.75,150996
2026-05-12,183.87,190.0,180.1,181.25,397829,EQ,4819,82.55,141842
2026-05-13,181.0,186.7,177.63,179.09,213632,EQ,2846,75.06,122488
2026-05-14,179.09,182.19,175.5,177.4,141492,EQ,2396,59.05,73013
2026-05-15,178.9,186.99,178.76,184.75,275440,EQ,4310,63.91,103709
2026-05-18,187.39,191.5,182.02,185.21,317945,EQ,6712,47.37,106197
2026-05-19,186.23,192.0,183.5,190.08,203279,EQ,3958,51.36,115309
2026-05-20,199.99,202.0,191.0,192.44,689309,EQ,7151,96.39,279155
2026-05-21,193.5,197.29,193.45,194.81,273345,EQ,3072,88.98,147262
2026-05-22,194.0,194.87,189.0,190.74,255617,EQ,2698,94.74,141673
2026-05-25,193.0,193.0,188.0,188.98,172337,EQ,2072,83.17,95677
2026-05-26,188.98,190.0,185.45,189.15,277806,EQ,3021,91.96,153662
2026-05-27,190.0,190.9,168.99,175.92,1082465,EQ,11824,91.55,630712
2026-05-29,182.71,182.71,169.0,170.69,705861,EQ,9063,77.88,294617
2026-06-01,176.0,178.94,167.4,168.39,421006,EQ,5523,76.23,217705
2026-06-02,169.5,171.2,167.13,170.12,166954,EQ,1975,84.53,85866
2026-06-03,173.3,174.42,167.0,168.45,708110,EQ,4122,171.79,426262
2026-06-04,170.0,171.23,168.19,169.31,555374,EQ,3305,168.04,384292
2026-06-05,170.4,189.4,169.03,182.55,1309804,EQ,15104,86.72,414026
2026-06-08,184.34,195.75,178.55,183.12,1351668,EQ,15063,89.73,303409
2026-06-09,182.75,185.49,180.16,181.08,200565,EQ,3152,63.63,88845
2026-06-10,180.95,182.94,174.11,175.09,140559,EQ,2229,63.06,73880
2026-06-11,177.0,183.49,172.18,175.31,310678,EQ,4431,70.11,112384
2026-06-12,179.94,183.0,174.98,177.96,114207,EQ,1703,67.06,49680
2026-06-15,180.6,185.0,177.0,178.96,168011,EQ,2710,62.0,82676
2026-06-16,180.0,180.85,176.74,178.77,87300,EQ,1328,65.74,49240
2026-06-17,178.77,182.19,176.2,178.38,117453,EQ,1898,61.88,59153
2026-06-18,178.31,180.8,176.5,178.38,109910,EQ,1975,55.65,49018
2026-06-19,184.0,184.0,178.15,179.43,129079,EQ,2708,47.67,58300
2026-06-22,179.04,191.01,179.04,182.95,350144,EQ,6851,51.11,165490
2026-06-23,183.0,186.39,180.05,181.78,149446,EQ,2394,62.43,86914
2026-06-24,182.0,185.0,179.61,183.42,158175,EQ,2135,74.09,84154
2026-06-25,183.3,184.9,179.0,182.46,99658,EQ,1632,61.06,51512
